,BTC,ETH,XRP,BCH,ADA,LTC,NEO,XLM,EOS,MIOTA,XEM,DASH,XMR,TRX,BTG,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.164152635763566,0,0.000000000000000000867361737988404,0,0,0,0,0.0344135820721499,0,0.038935852303603,0.059252650722575,0.0698347874954921,0,0,0,0,0
ETH,0,0,0,0,0,0.129813508519422,0.0627751296478813,0,0.0929761667770104,0,0.109698478752381,0,0,0.0257047300801858,0,0,0,0,0,0
XRP,0,0,0,0,0.00976115659388155,0,0,0.164213103760556,0.0387807498769223,0,0.0665325067837351,0,0,0.0986931128360859,0,0,0,0,0,0
BCH,0,0,0,0,0,0,0,0,0.0937234979990421,0,0.0443933157247303,0.43138284444122,0.0505118961816619,0,0,0,0,0,0,0
ADA,0,0,0.132908629769818,0,0,0,0,0.482048362936816,0.0471144558838194,0,0,0,0,0,0,0,0,0,0,0
LTC,0.207011122047994,0,0,0.074944475267208,0,0,0,0,0,0.114321978162392,0.0566847209016847,0,0,0,0.160473669304123,0,0,0,0,0
NEO,0,0.0911259707887095,0,0.152996948166891,0.0549082135007913,0,0,0.14341500691964,0,0,0.0456678086382079,0,0,0,0.0151211488191104,0,0,0,0,0
XLM,0,0,0.0789153097966821,0,0.31925082531757,0.104899169969143,0.0302330440256938,0,0.00625264461377714,0,0.092946232442891,0,0.0330296696529163,0,0,0,0,0,0,0
EOS,0,0,0,0.109462739541909,0,0,0,0,0,0,0.0682928180463726,0,0,0.104186024993982,0.21897062853024,0,0,0,0,0
MIOTA,0,0,0,0.0864335733118078,0,0.0715149698096846,0,0,0.0513972334516949,0,0.0918597644445949,0,0,0,0.117806374664443,0,0,0,0,0
XEM,0,0,0.0418227118087863,0,0.0833783027116164,0.0286222924673634,0,0.368862385672407,0,0,0,0,0,0.0185780142534781,0.103778214470281,0,0,0,0,0
DASH,0,0,0,0.253995264943647,0,0.0205301024424653,0,0,0,0,0,0,-0.00000000000000000173472347597681,0.0920379014364809,0.0567783769719814,0,0,0,0,0
XMR,0,0,0,0.0368403624717551,0,0,0.146733167263088,0.0227590400576927,0.0036387075691133,0,0.0965877641951716,0.238928767601804,0,0,0.0628823951440461,0,0,0,0,0
TRX,0,0,0.050149434121056,0,0,0.273753752434814,0,0,0.0537381666949774,0,0.0478036888365551,0,0,0,0.303566258962894,0,0,0,0,0
BTG,0,0,0,0.365768754914447,0,0,0,0,0.0331040161694584,0,0.00302968875521628,0,0.238875291250456,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0.0175184165572958,0,0,-0.00856345400244057,0,0,-0.00316525915478056,0,0,0,0.00105138553289616,0,0,0,0,0,-0.0454316649323946
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,-0.00296539384099182,0,0,0.000961198963351855,0,-0.000870360477416858,0,0,-0.00249122631268014,0,0,0.00381199963172873,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,0.000460439417840413,0,0,0,0,0,0,0,0,0.000132132189040633,0,0,0,0,0,-0.0325080975362023
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
