,BTC,ETH,BCH,XRP,LTC,MIOTA,DASH,ADA,XEM,BTG,XMR,EOS,XLM,ETC,NEO,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,-0.156934720689842,0,0.00975863115153932,-0.000000000000000000216840434497101,0,0.0102864599602135,0,0.010064384992991,0,0.142622693945173,0,0,0,0,0,0,0,0
ETH,0,0,0,0,0.20846901995393,0,0.0571444756194525,0,-0.0000000000000000000542101086242752,-0.00180361417765742,0,0.0292389404077018,0,0.125952499408942,0.0327265538843543,0,0,0,0,0
BCH,0,0,0,0.138741939375906,0,0,0.145650815943093,0,0.0589418158219712,0.106096183448023,0,0,-0.00125671072423618,0,0.249234581395921,0,0,0,0,0
XRP,0,0,0,0,0.0273328317367938,0,0,0.128141786751737,0.106955258410082,0,0,0.000000000000000000216840434497101,0,0.00435314978274114,0,0,0,0,0,0
LTC,0,0,0,0,0,0.0161005961644504,0,0,0.174087166017833,0,0,0,0,0.0775439966076101,0,0,0,0,0,0
MIOTA,0,0,0,0,0,0,0,0.149888405616549,0.168736158847961,0,0,0,0.127894098115592,0,0,0,0,0,0,0
DASH,0,0,0,0,0.0627468147141431,0,0,0,0.0289790300432889,0,0,0,0,0,0.0715927263052113,0,0,0,0,0
ADA,0,0,0,0.119466727844637,0.0766723306350444,0.0838632282206907,0,0,0.0235244015090248,0,0,0,0,0.199753019317415,0,0,0,0,0,0
XEM,0,0,0,0.140049301224435,0,0.0815128507100907,0,0.108511968353303,0,0,0,0,0,0,0,0,0,0,0,0
BTG,0,0,0.428147898924574,0,0,0,0,0.023930066673196,0,0,0,0,0,0.0665986809622973,0,0,0,0,0,0
XMR,0,0,0,0,0,0.0948290733592543,0.174496263662141,0.0915534418311054,0,0,0,0.0511916279679625,0.0274477415239058,0.056634345249755,0.023264315568449,0,0,0,0,0
EOS,0.113076759272195,0.0888659575444991,0,0.200846158400043,0.0635837681078837,0.170633889095244,0,0,0,0.0160608976470189,0,0,0,0,0.159823283253722,0,0,0,0,0
XLM,0,0,0,0,0,0.077768933358598,0,0.291930830744273,0,-0.0250472886697753,0.354191444389178,0.0986662881721116,0,0,0,0,0,0,0,0
ETC,0,0,0.0704660886166487,0,0,0,0,0.124758520965673,0.0957609051267413,0,0,0,0,0,0,0,0,0,0,0
NEO,0,0,0,0.130372924082053,0,0,0,0.0438450703579399,0.0209944952859226,0,0,0.0382978078737734,0.0585029579962698,0,0,0,0,0,0,0
BV010082.INDEX,0,0,-0.0004190348442194,0,0.0101840635747143,0.013961486895772,0,-0.0166889712797006,-0.0049124824790447,0,0.0191407242945221,0.0319915967009375,0,0,0,0,0,0,0,0
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,0.00000000139741258183049,-0.00000000465214404912955,0,0,0,-0.00000000168505472745708,0,0,0,0,0,0,0,0,0,-0.0123792344796175
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
