,BTC,ETH,XRP,BCH,LTC,EOS,BNB,BSV,XMR,XLM,ADA,TRX,XTZ,LEO,ATOM,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.0829973988315683,0,0.150378652281609,0.0890134348055201,-0.00000000000000000346944695195361,0,0,0,0.0562678433741594,0,0,0.00720240458679158,0,0,0,0,0
ETH,0,0,0,0.0352284936015377,0,0.236484260524661,0.169483357679148,0.0148504988022166,0.0281023738527948,0,0,0,0,0,0,0,0,0,0,0
XRP,0,0,0,0.0109560389907438,0,0.262371975797816,0,0.0511846185948116,0,0,0.0015136544686876,0.145872430918837,0,0,0,0,0,0,0,0
BCH,0,0,0,0,0.185861861865664,0.196151145643785,0,0.176815399544401,0,0,0,0.0188178122112399,0,0,0.0311904767311041,0,0,0,0,0
LTC,0,0,0,0.170047684685419,0,0.516921965623309,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EOS,0,0,0,0.126134050273395,0.314589959713192,0,0.104149874709997,0.0669388825198161,0,0,0,0.021780822296591,0,0,0.0638959380343523,0,0,0,0,0
BNB,0,0,0,0.106106883755388,0,0.314710278608149,0,0.082613806625851,0.0124188155868207,0,0.0802040921090066,0.0225446904549547,0,0,0,0,0,0,0,0
BSV,0,0,0,0.431963836612931,0.0291559228073713,0.0787576659358362,0,0,0,0,0,0,0,0,0.110813648097619,0,0,0,0,0
XMR,0,0,0,0.198134402636365,0,0.114312528696909,0.162573097705159,0,0,0,0,0,0,0,-0.0000000000000000000135525271560688,0,0,0,0,-0.0633023087087244
XLM,0,0,0.000622500847385769,0.227308797948787,0.280333203355343,0.0447783166264629,0,0.0140508972851252,0,0,0,0,0,0,0,0,0,0,0,0
ADA,0,0,0,0,0,0.124011615854261,0.0800962474183694,0.095469769809111,0,0,0,0.153261618415424,0,0,0.0530662296121008,0,0,0,0,0
TRX,0,0,0.0586912193092622,0.124774685985324,0,0.0294794174198839,0.465234169220104,0.0334161524367416,0,0,0,0,0,0,0.0519264455717797,0,0,0,0,0
XTZ,0,0,0.423509096920863,0,0,0,0,0,0,0,0,-0.1560412162024,0,0,0.131792817063062,0,0,0,0,-0.126184857373911
LEO,0,0,0,0,0,0,0,0,0,0,0.00926407523944986,0.149573348474945,0,0,-0.0532846617732539,0,0,0,0,0
ATOM,0,0,0,0,0,0.475652694852654,0,0,0,0,0.0349513632063697,0,0.279297458617795,0,0,0,0,0,0,-0.0349887259617885
BV010082.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0262706945328018
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,0,0.000000847732644561712,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0480347029752862
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
