,BTC,ETH,XRP,EOS,LTC,BCH,XLM,TRX,BNB,ADA,BSV,XMR,MIOTA,DASH,MKR,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.13234798846569,0,0.052469317977004,0.0368015154870197,0.0497383673038429,0,0,0.0252751706446749,0.0144188792005296,0,0,0,0,0,0,0,0,0,0
ETH,0,0,0,0.164230802957311,0.0860681080342248,0.0694171891536475,0,0,0,0.225286182339525,0,0,0,0,0,0,0,0,0,0
XRP,0,0.0469689568636055,0,0.154007954458522,0.0760302404684057,0,0,0,0,0.148658123541112,0,0.0508819864232731,0,0,0,0,0,0,0,0
EOS,0,0.174143523700613,0,0,0.189162627756393,0.105914795787896,0,0,0,0.207030472165014,0,0,0,0,0,0,0,0,0,0
LTC,0,0.097812695985641,0,0.231285944307873,0,0.208469658741631,0,0,0.0750325382955993,0.0927163046149186,0,0,0,0,0,0,0,0,0,0
BCH,0,0,0,0.202266110196118,0.263006306825984,0,0,0.00734764628416563,0,0,0.196317215495029,0,0,0,0,0,0,0,0,0
XLM,0,0.217445994519061,0,0.0193992554078164,0.144863409150686,0.0936521404908346,0,0,0,0.070935085737222,0,0,0,0,0,0,0,0,0,0
TRX,0,0,0,0,0,0.2370012376709,0.0734434562253825,0,0,0.249477609881466,0,0,0,0,0,0,0,0,0,0
BNB,0,0.0525397178423382,0,0.175870066036941,0.177089499732167,0,0,0.263948867336909,0,0,0,0.0984481851404274,0,0,0,0,0,0,0,0
ADA,0,0.286654521636316,0,0.162795054072448,0.187911374448517,0,0,0.00834543255518823,0,0,0,0,0,0,0,0,0,0,0,0
BSV,0,0,0,0,0.00391436094162306,0.459131725036381,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XMR,0,0.255080572518791,0,0.10728092443063,0.123033926070733,0,0,0,0.0677484316855314,0,0,0,0,0.200596277557246,0,0,0,0,0,0
MIOTA,0,0.0929159739832373,0,0.354814369769264,0.0984213103574526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DASH,0,0,0,0.361621092535147,0,0,0,0,0,0.0268422546149767,0,0.0609168585769229,0.102135876221643,0,0,0,0,0,0,0
MKR,0,0.393073210478819,0,0.179793230836472,0,0,0,0,0,0.0513175086007154,0,0.010366553549644,0,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0157447075720012
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0985283107754847
VIX.INDEX,0,0,0.00000465828647524735,0,0,0,0,0.00000808059623338418,0,0,0,0,0,0,0,0,0,0,-2.68579373803065,0
