,BTC,ETH,XRP,BCH,LTC,BNB,EOS,BSV,XMR,XLM,ADA,LEO,TRX,DASH,LINK,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.341002000856022,0,0.144044621671981,0,0,0,0,0.283032493699725,0,0,0,0,0,0,0,0,0,0,0
ETH,0.179917625750068,0,0,0.0254166151548204,0.135426729181632,0,0.165421513345782,0,0,0,0,0,0.0633906427263361,0,0.063452708476372,0,0,0,0,0
XRP,0,0,0,0.233890133733286,0,0,0.147605013270773,0,0,0,0.00000000000000000173472347597681,0,0.0839934835792188,0,0,0,0,0,0,0
BCH,0.182295418366503,0.22176965327171,0,0,0.0303201381843405,0,0.176072477195517,0,0,0.0164750955913055,0.023523623616797,0,0.0757890938618207,0,0,0,0,0,0,0
LTC,0,0.195665403816789,0,0,0,0,0.387599737544516,0,0,0,0.0738386605414969,0,0.00453145243283653,0,0,0,0,0,0,0
BNB,0,0,0,0,0.251125294251549,0,0,0,0.111221221717816,0,0,0,0.0585727361166961,0.0271367073435808,0,0,0,0,0,0
EOS,0,0.0493362136386444,0,0.242211216983259,0.092072170737189,0,0,0.102334608744276,0.101151390001137,0,0,0,0.116990330174151,0,0,0,0,0,0,0
BSV,0,0,0,0.236127721817246,0,0,0,0,0,0,0,0,0.283733541102331,0,0.0105327855216181,0,0,0,0,0
XMR,0.355379450923966,0,0,0.0941479597283415,0,0.0090901958022757,0.0848153439295555,0.00698022630047649,0,0,0,0,0.130784379880292,0,0,0,0,0,0,0
XLM,0,0,0,0.0680167942130565,0.00490968417866301,0,0.00101975391281857,0,0,0,0.19026741091719,0,0.228507884309395,0,0.0293212476595474,0,0,0,0,0
ADA,0,0.0990693540653556,0,0,0,0,0.22128027717033,0,0,0.394462036458023,0,0,0.0952232136956518,0,0,0,0,0,0,0
LEO,0,0,0,0,0,0,0.124205141040664,0,0.0266478165327547,0,0,0,0,0,0.122173879467636,0,0,0,0,-0.118664397692386
TRX,0,0,0,0,0.0272074858298892,0,0.164348074632411,0.318861495644892,0.0786668895118015,0,0.097264697139265,0,0,0,0.0322845136032128,0,0,0,0,0
DASH,0.0978019981090995,0,0,0,0,0,0.127593876661761,0.0577177181915413,0.0906513913546649,0,0,0,0.107590600508147,0,0,0,0,0,0,0
LINK,0,0,0,0,0.196938391543307,0,0.12994028986924,0.14897189375778,0,0,0,0,0.210137454203532,0,0,0,0,0,0,0.0686090890824499
BV010082.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.025234236260347
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00805223224599108,0,0,0,0,0.0416216484167886
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,-0.00000194358967951234,0,0,0.0207848596349841,0,0,0,0
SPX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0790167793628709
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
