,BTC,ETH,BCH,MIOTA,XRP,LTC,XEM,DASH,BTG,XMR,ADA,ETC,XLM,NEO,EOS,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,-0.175892587361269,0,0,0.0222702702675743,-0.0926305770752281,-0.0849881335326111,0.0301367635873546,0,0.0175799318761281,0,0,0,0.153328768851819,0,0,0,0,0
ETH,0,0,0,-0.000000000000000000867361737988404,0,0,0.0218738320282574,0.0654943863113105,0,0,0.0450746261249511,0.158711613117629,0,0.0450191730242838,0.0113925127032947,0,0,0,0,0
BCH,0,0,0,0,0,0,0.0764312418543416,0.127482637059854,0.109758698547001,0,-0.0337201461785662,0,-0.0259705093862221,0.23594725982003,0,0,0,0,0,0
MIOTA,0,0,0,0,0,0,0.167968781093539,0,0.0000000000000000000135525271560688,0,0.179494145823221,0,0.0972079192236621,0,0,0,0,0,0,0
XRP,0,0,0,0,0,0,0.114969215450449,0,0,0,0.0824981839061914,0.0162730333596794,0.0208605301077042,0,0,0,0,0,0,0
LTC,0.06963157518674,0,-0.0141821278587113,0,0,0,0.208269722500486,0,-0.00533110025666159,0,0.0391707442170373,0.0856557938475611,0,0,0.0216515756759991,0,0,0,0,0
XEM,0,0,0,0.079419126075991,0,0.100535542916696,0,0,0,0.0118524723743647,0.0828106091139004,0.0550498845248336,0,0,0,0,0,0,0,0
DASH,0,0.083381134063485,0,0.0111474462990871,0,0,0.0362936282513909,0,0,0.0866794292476952,0,0,-0.0371420039165674,0.154930594026033,0.000000000000000000867361737988404,0,0,0,0,0
BTG,0,0,0.272932910397084,0,0,0,0,0,0,0,0,0,-0.00100272919886682,0,0,0,0,0,0,0
XMR,0,0,0,0.112335686976611,0,0,0,0.158955747321121,0,0,0.117109680258564,0.0391236461434592,0.0244531876109265,0,0,0,0,0,0,0
ADA,0,0,-0.0938898145762644,0.0631250775859025,0,0.25377617010833,0,0,-0.0383210019268147,0.0573543483687894,0,0.279422329174785,0,0,0.0381928063667526,0,0,0,0,0
ETC,0,0,0.142787038010924,0,0,0,0.0902860490315008,0,0,0,0.167051111351797,0,0,0,0,0,0,0,0,0
XLM,0,0,0,0.151770692471802,0,0,0,0,-0.0211190354473306,0.432254813598433,0.223254609879847,0,0,0,0.110019269888437,0,0,0,0,0
NEO,0,0,0,0.0716022306770127,0,0,0.0273737401013605,0,0,0,0,0,0.0404509325323453,0,-0.000000000000000000433680868994202,0,0,0,0,0
EOS,0.147361691928043,0,0.133277076270829,0.223753232714276,0,0.190353009282501,-0.0314160446950241,0.00224807941384744,0,0,0,0.114562279226903,0,0.129220080593021,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0,0,-0.00241008357619744,0,0,0,-0.0111327498544501,0,0.016575766514027,0.0171476518466729,0.0232013198276224,0,0,0,0,0
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.INDEX,0,0,0,-0.0000000169345303754652,0,0,0.0000000299259023671174,0,0,0,0,0,-0.00000000964985335332165,0,0.00000000582342398903987,0,0,0,0,-0.0123793632375893
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
