,BTC,ETH,XRP,XEM,ETC,LTC,DASH,XMR,XLM,ZEC,DOGE,DGB,NEO,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.00213009288612264,0,0,0,0.070208320656425,-0.0217750400782368,0,0.0579453304196419,0.00222835016119394,0.08084033954834,0,0,0,0,0
ETH,0,0,-0.0259730360795757,0,0,0,0.0875747281545754,0,0,0,0,0,0.048414658277179,0,0,0,0,0
XRP,0,0,0,0,-0.156820043424124,0,0,0,0.4309493097534,0,0,0,0,0,0,0,0,0
XEM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ETC,0,0.205576813684293,-0.00301803305983052,0,0,0.0469199104213444,0.0933316969815546,0,0,0,0,-0.00258251777364999,0.232307523690159,0,0,0,0,0
LTC,0,0,0,0,0,0,0,0,0.0678881483308899,0,0.098048476063709,-0.0789098416657245,0.0751634513680219,0,0,0,0,0
DASH,0,0,-0.0924091070331421,0,0,0,0,0.168614659358573,0.00972207416631598,0.0933887663973211,0,0,0.103290897027449,0,0,0,0,0
XMR,0,0,0,0.0809011319014473,0,0,0.108124348066908,0,0.0320049922952276,0,0,0,0.0621056634223721,0,0,0,0,0
XLM,0,0,0.388338215777305,0,0,0.0240971786504226,0,0,0,0,0.153145962416078,0.0290127423759035,0,0,0,0,0,0
ZEC,0,0.305179079746139,0,0.0581316519405438,0,0,0,0.0668326297158123,0,0,0.065827139282803,0,0,0,0,0,0,-0.0203033376967311
DOGE,0,0,0.157710177400738,0,0,0.087738105889842,0,0,0.0913412526718831,0.193747426215014,0,0,0.0622742322227636,0,0,0,0,0
DGB,0,0,-0.279010624545671,0,-0.243204299668313,-0.0476756079498228,0,0.21010654187393,0.347664330014637,0,0.324554148833908,0,0,0,0,0,0,-0.374234347378428
NEO,0,0,0,0,0,0,0,0,0,0.148249831984261,0.0436344807439958,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0,0,0,0,0,0,0,-0.000000000000000047271214720368,0.00000000000000000899887803162969,0,0,0,0,-0.0797962922207883
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,0,0,0,0,0,0,-0.000391478613413621,0,0,-0.00290276641516818,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,0,0,0,0,0.000000335596955368545,0,-0.000000172386679709256,0.00000106710814691456,0,0,0,0,0,-0.0279415256562802
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
