,BTC,ETH,XRP,BCH,LTC,EOS,BNB,BSV,XMR,ADA,TRX,XLM,XTZ,LEO,ATOM,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.118225998193587,0.121017910807042,0.0707653333693211,0.0819041044688329,0,0.00567461576268852,0,0.0530054808826897,0,0,0,0,0,0,0,0,0
ETH,0,0,0,0.0370872241501264,0.00000000000000000173472347597681,0.220080541580598,0.175407851172929,0.0154397951607586,0.0193718231862785,0,0,0,0,0,0,0,0,0,0,0
XRP,0,0,0,0.0215262914023385,0,0.230361946854703,0.0525840652871222,0.025452387696915,0,0.00748463673278462,0.154595906565872,0,0,0,0,0,0,0,0,0
BCH,0,0,0,0,0.243891706665561,0.170299493131223,0,0.149964298115339,0,0,0.0156940740952424,0,0,0,0.0377609519430179,0,0,0,0,0
LTC,0,0,0,0.16075591983594,0,0.550620263995433,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EOS,0,0,0,0.127210780584504,0.253504939080608,0,0.180231516550849,0.0414803145744988,0,0,0.0255926989103728,0,0,0,0.0542428888786015,0,0,0,0,0
BNB,0,0,0,0.129143534215906,0,0.31414583760394,0,0.0380984998571151,0,0.0222186789446654,0.0851126905592907,0,0,0,0,0,0,0,0,0
BSV,0,0,0,0.441176208697178,0.0282529473650802,0.0649203255458188,0,0,0,0,0,0,0,0,0.110987303354828,0,0,0,0,0
XMR,0,0,0,0.599703494425164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADA,0,0,0,0,0,0.119558542139151,0.142663666285867,0.109858337957334,0,0,0.162723948942056,0,0,0,0.0392667872066229,0,0,0,0,0
TRX,0,0,0,0.0240009704695488,0,0.0976229424123052,0.435460105068676,0.0716091027226852,0.0481250822532712,0,0,0,0,0,0.0806180427629521,0,0,0,0,0
XLM,0,0,0,0.187259294758651,0.272003558675786,0.0561815268993591,0,0.0163646194511796,0,0,0.0157786835712775,0,0,0,0,0,0,0,0,0
XTZ,0,0,0.336585650338701,0,0,0,0,0,0,0,0,0,0,0,0.0980246278700072,0,0,0,0,-0.0404556104185189
LEO,0,0.0646817579989961,0,0,0,0,0,0,0,0,0.111318522400832,0.0454119285557216,0,0,-0.0804566983753273,0,0,0,0,-0.00706747368368486
ATOM,0,0,0,0,0,0.558520995563079,0,0.0994794141330658,0,0.168997912383201,0,0,0.275609500868941,0,0,0,0,0,0,-0.0211501792994625
BV010082.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0274878745107692
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00376508319029939
SPX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0519890378006876
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
