,BTC,ETH,XRP,BCH,EOS,XLM,LTC,ADA,MIOTA,TRX,XMR,NEO,DASH,ETC,XEM,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.0593918122336788,0.00841696389972039,0,0,0.0734406774571809,0.0264092080219962,0,0.0875279331338509,0,0,0,0,0,0,0,0,0
ETH,0,0,0,0.272781032111592,0,0,0,0,0.1016910436372,0.146375706507333,0,0,0,0,0,0,0,0,0,0
XRP,0,0,0,0,0.170354017520005,0,0,0,0.147062416121849,0.120273819264543,0,0,0,0,0,0,0,0,0,0
BCH,0,0,0,0,0.34723316899384,0,0,0.156914923413375,0,0.089928473585879,0,0,0,0,0,0,0,0,0,0
EOS,0,0,0,0.405161349840353,0,0,0,0.0607392999723172,0.163156173617603,0,0,0,0,0,0,0,0,0,0,0
XLM,0,0,0,0,0.0628318396824664,0,0,0.494134800884214,0.138374975372727,0,0,0,0,0,0,0,0,0,0,0
LTC,0,0,0,0.354677852843102,0.0326861972323757,0,0,0,0.0983678592677121,0,0,0,0,0,0,0,0,0,0,0
ADA,0,0,0,0.276519889855251,0,0.0945824211923242,0,0,0.162379307231109,0,0,0,0,0,0.315534384944935,0,0,0,0,0
MIOTA,0,0,0,0.233954555292442,0.0388861250007865,0,0,0,0,0,0,0.554585769269553,0,0,0,0,0,0,0,0
TRX,0,0,0,0.314166286575554,0.123507571145967,0.0972910820983464,0,0.0499959493930382,0.100897619260078,0,0,0,0,0,0,0,0,0,0,0
XMR,0,0,0,0.408684236146496,0,0,0,0,0,0,0,0.300761827229207,0,0,0.0205157789373812,0,0,0,0,0
NEO,0,0,0,0.151098494767053,0.105269046578785,0,0,0,0.34994978471491,0,0,0,0,0,0.142291724521846,0,0,0,0,0
DASH,0,0,0,0.175666162757806,0,0.189366507715451,0,0,0,0,0,0.0438456572480929,0,0.0607571239745069,0,0,0,0,0,0
ETC,0,0,0,0.346182993950103,0,0,0,0,0.0715555075955347,0,0,0,0,0,0,0,0,0,0,0
XEM,0,0,0,0.0795428065154555,0.140433266761328,0.0629998946178205,0,0.224556853750768,0.018817674106007,0,0,0.0372503312503313,0,0.0188165819811115,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0.00512071207539775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0609441113668931
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0497078561880402
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
