,BTC,ETH,BCH,XRP,LTC,DASH,MIOTA,NEO,XMR,XEM,ETC,EOS,ZEC,ADA,XLM,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,-0.0411721150163572,0,0.356083834696942,-0.104628663120422,0,0,0,0,0,0.0531906409137577,0,0.041462109796415,0.00430475489975719,0,0,0,0,0
ETH,0,0,0,0,0,0,0.11267227800427,0.0171169594659849,0,0,0.0580329780614408,0.0557725346976067,0,0.0592864504533315,0.00482535124412341,0,0,0,0,0
BCH,0,0,0,0,0,0.191532932129606,0,0.149950046130289,0,0,0.163739671298049,0,0,0,0,0,0,0,0,0
XRP,0,0,-0.0270188252725422,0,0.150939309179982,0,0.0839319017180794,0.0578088541066317,0,0,0.00895784646110529,0.00645910332805073,0,0,0.0452445713480708,0,0,0,0,0
LTC,0.0325392649935554,0,0,0.14291292149708,0,0,0.0793651009381317,0,0,0,0.104096787459771,0.0219947498313628,0,0.0475357607438566,0,0,0,0,0,0
DASH,0,0,0.0523221079112372,0,0,0,0.123552234031796,0.0395593821375837,0.0224792090049029,0,0,0,0.0722447506740896,0.045553580603876,0,0,0,0,0,0
MIOTA,0,0,0,0,0,0.0639970726218,0,0.0000000000000000277555756156289,0.206851928032198,0.153794963469216,0.234930707616287,0,0.0352293356960348,0.0626491711789343,0.0455499869920545,0,0,0,0,0
NEO,0,0,0,0,0,0,0,0,0,0,0.0447593017474094,0.0487999979284929,0,0.0574982158549769,0.175618515885253,0,0,0,0,0
XMR,0,0,0.00044009284055475,0,0,0.00000000000000000173472347597681,0,0.130007214949756,0,0,0,0,0.121890609263197,0.0161897896275542,0,0,0,0,0,0
XEM,0,0,0,0,0,0,0.190328168945532,0.00804849407346397,0,0,0,0,0,0.108576202695028,0.0986819180887379,0,0,0,0,0
ETC,0,0.195008734768629,0.126887171988655,0,0.0538753482627067,0,0.00000000000000000173472347597681,0,0.00103611740344583,0,0,0.0233089204094109,0,0,0.00569538749131092,0,0,0,0,0
EOS,0,0,0.0110530128161262,0,0,0,0.161699184988067,0.0479287034109302,0,0,0.259588486648724,0,0.145991578554288,0,0,0,0,0,0,0
ZEC,0,0,0,0,0,0.192984651802937,0.23995962029528,0,0,0,0,0.0158909914776922,0,0,0,0,0,0,0,0
ADA,0,0,-0.156403369611965,0,0,0,0.0513005804874589,0,0.0519801285301893,0,0.139557829202993,0,0,0,-0.0481275106448062,0,0,0,0,0
XLM,0,0,-0.012558090145225,0,0,0,0.114217973762182,0.29583320574748,0,0.664607901190012,0,0.00656518283192985,0,-0.0677624705816172,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0,0,0,0,0,0,0,0.0352858336052173,0,0,0,0,0,0,0,0
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.INDEX,0,0,0.000318044014785584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0278332295831364
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
