,BTC,ETH,BCH,XRP,LTC,DASH,XEM,MIOTA,XMR,ETC,NEO,ZEC,EOS,BAT,XLM,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0,0.050163081320601,0,0.147906737412547,0.082939703163732,0,0,0.0326504792015598,0,0.0305670587832032,0.0412167468726487,0,0,0,0,0,0
ETH,0,0,0,0,0.0682163526568385,0,0.0650741908672317,0.0996651735785212,0,0.00390192784142812,0,0.00971859329490918,0,0.0404364221552486,0.010506585046359,0,0,0,0,0
BCH,0,0,0,0,0,0,0.491350765634061,0,0,0.0584483293841695,0,0,0,0,0.120571435119578,0,0,0,0,0
XRP,0,0.33668011411793,0,0,0,0,0,0,0,0,0,0,0,0,0.135306778844508,0,0,0,0,0
LTC,0,0,0,0,0,0,0,0,0,0.556728501428781,0,0,0,0,0,0,0,0,0,0
DASH,0,0,0.00510197972276316,0,0,0,0.0517112752244421,0.0319174367817887,0,0,0,0.19023699264487,0,0.0760087946122764,0,0,0,0,0,0
XEM,0,0,0.113258904622457,0,0,0,0,0.0897399148955965,0,0,0.0187377576878582,0,0,0.189957788266408,0.169317337109909,0,0,0,0,0
MIOTA,0,0.0815168641173056,0,0,0,0.357223706010765,0.0142762096658852,0,0,0,0.10071594712879,0.180365772455771,0,0,0,0,0,0,0,0
XMR,0,0,0,0,0,0,0,0.00603507578805008,0,0,0,0.114984180393858,0.00669560373525426,0,0.253314483249439,0,0,0,0,0
ETC,0,0.0286034253061905,0,0,0.352060914345057,0,0,0.00784978280074017,0,0,0,0.0165568358073785,0.04428917583302,0.0452066246597353,0.0954325607672325,0,0,0,0,0
NEO,0,0,0,0,0,0,0.410167708245176,0,0,0,0,0,0.308036496546392,0.102532932859852,0,0,0,0,0,-0.0344636970572825
ZEC,0,0.409028378562361,0,0,0,0.0274409601912587,0,0.00491879014179758,0.036558902773572,0,0,0,0.055517142183542,0.0395447464867748,0.0958318942213298,0,0,0,0,0
EOS,0,0,0,0,0.0369600314886832,0,0.0834487216458669,0,0.00470250678027453,0,0.0449608316474241,0,0,0.0548695927123731,0.1570936358164,0,0,0,0,0
BAT,0,0.233706049057206,0,0,0,0,0,0.0178892832935641,0,0.176937883896348,0.265966909723274,0,0.0430893532587429,0,0,0,0,0,0,0
XLM,0,0,0,0.147390202171988,0,0,0.0541417780271247,0,0.263737699343429,0.254552449543267,0,0,0,0.0884073771763348,0,0,0,0,0,0
BV010082.INDEX,0,0,-0.00542203863286902,0,0,-0.000000000000000000216840434497101,0,0,0,0,0,0.017960278098254,0,0,-0.00568088888618978,0,0,0,0,-0.0324826971388227
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0132466057860528
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,0,0,0,0,-0.000000198824006973241,0,0.000000153940944958199,0,0,0,0,0,0,0,0,-0.0379360801784058
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
