,BTC,ETH,XRP,BCH,BSV,LTC,EOS,BNB,ADA,TRX,XTZ,XLM,ETC,XMR,DASH,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.118653238952886,0.0176154626234551,0.111668013348074,0.00723987449862324,0,0.0101457468673887,0.0797639273046351,0,0,0,0,0.017907757542735,0,0,0,0,0
ETH,0,0,0,0.141420138916337,0.0184467771020977,0.0305416627113236,0.00670232434109573,0,0.0641381643085593,0.182589248779597,0,0,0,0,0.0151344100134951,0,0,0,0,0
XRP,0,0.0987045711210685,0,0.0447381807206979,0.0310749174508659,0.136702105108851,0,0,0.0251208744426705,0.167228093414085,0,0,0,0,0,0,0,0,0,0
BCH,0,0,0,0,0.268981096918784,0.0573659352454161,0,0,0,0,0,0,0.0516600324869229,0,0.0583513923058888,0,0,0,0,0
BSV,0,0,0,0.47892723424559,0,0,0.21409042886754,0,0,0,0,0,0.0504533009884821,0,0.0516569583927655,0,0,0,0,0
LTC,0,0,0,0.252562940373735,0.0316053594025182,0,0.258383593481415,0,0.0303298403466806,0.00140800329560387,0,0,0,0,0.0324071531457168,0,0,0,0,0
EOS,0,0,0,0.136872117722055,0.119639561688216,0,0,0,0.00844684830386596,0,0,0,-0.000000000000000000433680868994202,0,0.0438837947311953,0,0,0,0,0
BNB,0,0,0,0.176915150502859,0,0,0.0641984862904686,0,-0.000000000000000000216840434497101,0.091919396512565,0,0,0,0,0.0705337696361111,0,0,0,0,0
ADA,0,0,0,0.0743004969099762,0.0536879705647208,0,0,0,0,0.115683020613651,0,0,0.120557066756694,0,0.0345393480285314,0,0,0,0,0
TRX,0,0,0,0.233684244299238,0.00000000000000000173472347597681,0,0,0,0.0680672057406339,0,0,0,0,0,0.0496600386017654,0,0,0,0,0
XTZ,0,0,0.213430302609953,0.00614260225062233,0,0,0.0302434713748813,0,0,0,0,0,0,0.111980053792866,0,0,0,0,0,0
XLM,0,0.131893643484887,0.418309148587298,0,0,0,0,0,0,0,0,0,0,0,0.0517957719276349,0,0,0,0,-0.0365812412917004
ETC,0,0,0,0.216083136143225,0,0,0,0,0,0,0,0,0,0,0.398065998693381,0,0,0,0,0
XMR,0,0,0,0.0373829100866631,0,0,0,0,0.111477166029339,0,0,0,0.0394589177655702,0,0.184634472004899,0,0,0,0,0
DASH,0,0,0,0.58714394439178,0.0926891574386131,0,0,0,0,0,0,0,0,0.0804869819159096,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00513327400731194,0,0,0,0,-0.0847596191044333
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,0.00290801602114703,0,0,0,0,0,0,0,0,0,-0.000859491034576446,0,0,0,0,-0.0622142730897283
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
