,BTC,ETH,XRP,LTC,XEM,DASH,DOGE,XMR,XLM,DGB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.401199119460763,0.0456284827492376,0,0,0,0,0,0,0,0,0,0
ETH,0,0,0,0,0.0903957353551237,0,0.125276737585615,0,0,0.129956215346238,0,0,0,0,0
XRP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LTC,0.658036881845297,0,0,0,0.00180319640329628,0,0,0,0,0,0,0,0,0,0
XEM,0.384851263939624,0,0,0,0,0,0,0,0.62264714465218,0.0434185640221759,0,0,0,0,0
DASH,0,0.07695870272518,0,0.0815680921058394,0,0,0,0,0,0.0291176425707949,0,0,0,0,0
DOGE,0.274004117235669,0,0,0.0827968121529442,0.0187081102582997,0,0,0,0,0.0179743716883042,0,0,0,0,0.0371853918416987
XMR,0.509014929388753,0,0,0,-0.0218176277735763,0,0.147551556280476,0,0,0,0,0,0,0,-0.0459076523620519
XLM,0,0.00000000000000000010842021724855,0,0.082767901077718,0.172503913527264,0,0.0527927446630499,0,0,0,0,0,0,0,0
DGB,0,0,0,0,0.0839900328026381,0,0,0,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,-0.0192861200321635,0,0,0,0,0,0,0,0,0,-0.0558066874876477
CVIX.INDEX,0,0,0,0,0,0,0,0,0,-0.0000169691479565838,0,0,0,0,0.231252591480552
DXY.INDEX,0,0,0,0,0.000000141658583992056,0,0,0,-0.000000163849606336953,0,0,0.0326952404037926,0,0,0.000000000000000000433680868994202
SPX.INDEX,0,0,0,0,-0.00000247758634246483,0,0,0,0,0,0,0,0,0,-0.0648373239521502
VIX.INDEX,0,0,0,0,0,0,0,0,0,0.0000170556106415361,0,0.636055268589121,0,0,0
