,BTC,ETH,XRP,LTC,DOGE,DASH,XMR,XLM,XEM,DGB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.525494108877545,-0.00788620443933767,0.00321832521216263,0.0549923754993297,0,0.0000000000000000000135525271560688,0,0,0,0,0,0
ETH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XRP,0.0736449046295598,0,0,0,0.0992243863916291,0,0.0153899508219947,0.0357831146055203,0,0.0140945676964429,0,0,0,0,0
LTC,0.451746145459611,0,0,0,0.0156257393872498,0,0.00064982404714989,0,0,0.00359973233394745,0,0,0,0,0
DOGE,0,0.0672295638767122,0,0.59558239284452,0,0,0,0.179569707871268,0,-0.00000000000000000010842021724855,0,0,0,0,0.0460760944574606
DASH,0,-0.168077689585636,0,0,0,0,0,-0.066154885400892,0,0.115403233664983,0,0,0,0,0
XMR,0.247161603784761,0.0101378023588678,0,0,0,-0.286913785991977,0,0.327028675579485,0.0878958699440793,0,0,0,0,0,0
XLM,0,0,0,0,0.190017215396668,0,0,0,0.0413635697139667,0.0621978502505898,0,0,0,0,0
XEM,0,-0.0730474492540712,0,0.628544185166443,0.045024070305611,0.284829170385487,0.0300466250427373,0.104119822320504,0,0.0350575655835751,0,0,0,0,0
DGB,0.288778660856583,0,0.374678004578856,0,0,0.0529297657092734,0,0.0874482819351176,0.00712527944610321,0,0,0,0,0,0.198092625131303
BV010082.INDEX,0,0,0,0,-0.0000963462209459292,0,0,0,0,0,0,0,0,0,-0.0383198623599615
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0.00000196330064839118,0,0,0,0,0.0525816572650218
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,0,0,0,0,0,-0.00000205671039942821,0,0,0,0,-0.123850802135245
VIX.INDEX,0,0,0,0,0.0513495814617905,0,0,0,0,0.100775261651415,0,0,0,0,0
