,BTC,ETH,XRP,BCH,EOS,XLM,LTC,ADA,XMR,DASH,MIOTA,TRX,NEO,ETC,BNB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0.00440988818534587,0.0386633284917738,0.0642568920758826,0,0,0,0,0.0164869247881636,0.0721044237666481,0.0165567399523029,0,0,0,0,0,0,0,0
ETH,0,0,0.173867844094651,0,0,0,0,0.0173427811189628,0,0,0.0556509838465734,0.16299129492065,0,0,0,0,0,0,0,0
XRP,0,0.0511090928382603,0,0,0.000000000000000000433680868994202,0,0,0,0,0,0.288058534121819,0,0.10007149690073,0,0,0,0,0,0,0
BCH,0,0,0.111299098708696,0,0.0870775077512099,0,0,0,0,0,0.0439472233717662,0.194305840882012,0.0306049989635383,0,0,0,0,0,0,0
EOS,0,0.0729074383455513,0.0930091056159728,0,0,0,0,0.0947083652411777,0,0,0.0732351010848739,0.099945911694002,0.164267774830445,0,0,0,0,0,0,0
XLM,0,0,0,0,0,0,0,0.168456667263033,0,0,0,0,0.147639498358019,0,0,0,0,0,0,0
LTC,0,0,0.0264763444405976,0.0288656587254675,0,0,0,0.169328383627658,0,0,0.13710590104731,0,0.0131723087170945,0,0,0,0,0,0,0
ADA,0,0,0.110291276058441,0,0.192319431570153,0,0,0,0,0.02398353837832,0.000000000000000000867361737988404,0.195702227467143,0.18958700083951,0,0,0,0,0,0,0
XMR,0,0.216129282756815,0.0953265370259291,0.049571243972942,0,0,0,0,0,0.105867152583189,0.130312410852545,0,0.0234079280029201,0,0,0,0,0,0,0
DASH,0,0,0,0,0.0149021628309871,0,0,0,0.142250465751064,0,0.0932344021943909,0.000731164223093411,0.291784470410537,0,0,0,0,0,0,0
MIOTA,0,0,0.0458187464324557,0,0,0,0,0,0,0,0,0.0937545951545299,0.690716774302689,0,0,0,0,0,0,0
TRX,0,0,0.0978769890437815,0,0.115540361396663,0,0,0.162374738924912,0,0,0.133836474307261,0,0.218932324437441,0,0,0,0,0,0,0
NEO,0,0,0.0538147636857518,0,0.0414562400024286,0,0,0,0,0,0.30250151863235,0.199395938860913,0,0,0,0,0,0,0,0
ETC,0,0.248436880266486,0.0360481546923999,0,0,0,0,0,0,0,0.123448252888408,0,0,0,0,0,0,0,0,0
BNB,0,0,0.031355030615756,0,0.151995315414545,0,0,0,0,0.0216580856620243,0.0222522765370489,0,0.18568910195726,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0.0255317334603455,0,0,-0.00439715557445827,-0.0237864277614095,0,-0.00250930570445616,0,0,0,0,-0.0105962380346598,0,0,0,0,0,-0.0415848831155441
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,-0.00446341069447318,0,0,0,0,0,0,0.00067184793876554,0.000508534496229695,0,0,0,0,0,0.0540539902877546,0,0,-0.00468250899870465
SPX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0460482440959436
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
