,BTC,ETH,XRP,LTC,BCH,EOS,BNB,BSV,TRX,ADA,XLM,LEO,XMR,DASH,NEO,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0,0.407676262494654,0,0,0,0,0.018875525502452,0,0,0.110969061891774,0,0.00990224813092494,0,0,0,0,0
ETH,0.214066114037344,0,0,0.0133146464604069,0.118624247066478,0.124301174483226,0,0,0,0.234035121713186,0,0,0,0,0.0259468726514101,0,0,0,0,0
XRP,0.0314365429820144,0,0,0,0.0397732554477335,0.147815619511889,0,0,0,0.235096647526058,0.0164953959703341,0,0.0287029981850388,0,-0.0000000000000000000542101086242752,0,0,0,0,0
LTC,0.00167130279977499,0,0,0,0.119248185315174,0.288126820533746,0,0,0,0.0525971047134965,0,0,0.171495846391848,0,0,0,0,0,0,0
BCH,0.285302997259834,0.0412805309313838,0,0,0,0.210144541801569,0,0.0273515378017416,0,0,0,0,0,0,0.0462860644991583,0,0,0,0,0
EOS,0,0.114474151585115,0.250774564638756,0.104848722571775,0.256695147846388,0,0,0,0.038675593311032,0,0.00930785190656112,0,0,0,0,0,0,0,0,0
BNB,0,0,0,0.186123146485673,0.0829770974696671,0,0,0.030895054945103,0,0,0,0,0.123474532896257,0,0,0,0,0,0,-0.0517326996977695
BSV,0,0,0,0,0,0.106042205601299,0,0,0.465287805187642,0,0,0,0,0,0.0395372788803218,0,0,0,0,0
TRX,0,0,0,0,0,0.152313322535968,0,0.026082202672207,0,0.414350995138712,0,0,0,0,0.0860307980268148,0,0,0,0,0
ADA,0,0,0.272451910119759,0,0,0.12111661564432,0,0,0.22882608347996,0,0,0,0.0226016348288668,0,0.00344662814908577,0,0,0,0,0
XLM,0,0,0.240820893412659,0.0503198782551256,0,0.00746956999494666,0,0,0,0.298226882123397,0,0,0,0,0.0528680090321475,0,0,0,0,0
LEO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XMR,0.121115272811602,0,0,0.026359593598407,0.148022929799929,0.0477724346430122,0,0,0.0309205991397084,0.192740496133819,0,0,0,0.095329409731479,0,0,0,0,0,0
DASH,0,0.0011973881393485,0,0,0,0.107356227101852,0,0,0,0.0736431185779495,0,0,0.127365006956943,0,0.126830675925773,0,0,0,0,0
NEO,0,0,0.128842896807619,0.0366401077537094,0.0338841153737286,0.0123325245521299,0,0.0184463587111628,-0.000000000000000000867361737988404,0.499559002796886,0,0,0,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.053528585584877
CVIX.INDEX,0,0,0,0,0,0,0,-0.0144462786181582,0,0,0,0,0,0,0,0,0,0,0,0.0388256086060821
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0618147941955776
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
