,BTC,XRP,ETH,BCH,EOS,LTC,TRX,XLM,BSV,ADA,BNB,XMR,MIOTA,DASH,NEO,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.0777596387578125,0,0,0,0,0,0,0,0.143213205203152,0.00918394515672931,0.0663405342940972,0.155937675763425,0,0,0,0,0
XRP,0,0,0,0.0356399675765544,0,0,0,0,0,0.0490632738648614,0,0.192577864657459,0.0404660646322792,-0.00000000000000000346944695195361,0.135930824244285,0,0,0,0,0
ETH,0,0,0,0.0751059745378367,0.0807297610265227,0,0,0,0,0,0,0,0,0.0612263022571799,0.428071117778237,0,0,0,0,0
BCH,0,0,0,0,0.343366447652666,0.0716774644293512,0.0696450808791935,0,0.135903429279444,0,0,0.119453971616692,0,0,0,0,0,0,0,0
EOS,0,0,0,0,0,0,0,0,0,0.297196000642701,0,0,0,0.156675249927733,0.197654685494121,0,0,0,0,0
LTC,0,0,0.0117977480462926,0.00563853751481751,0.17780978890858,0,0,0,0,0.0325429067669593,0,0,0,0,0.418306898952298,0,0,0,0,0
TRX,0,0,0,0.108607724560201,0,0,0,0,0,0.167578381811522,0.0107252093642721,0,0,0,0.352658353714389,0,0,0,0,0
XLM,0,0,0.105528878594564,0.0495910148885068,0.169387368453789,0,0,0,0,0,0,0.0332285766207021,0,0.153285508036208,0.117333420803066,0,0,0,0,0
BSV,0,0,0,0.586345009063963,0,0,0,0,0,0,0,0,0,0.0415020404220173,0,0,0,0,0,0
ADA,0,0,0.19098512902677,0.055207000444948,0.278586528922111,0,0.0518837381563701,0,0,0,0,0,0.00393728991056995,0,0.198872079665008,0,0,0,0,0
BNB,0,0,0,0.0109223283012608,0.179420064827977,0,0.122783893454885,0,0,0,0,0,0,0.00000000000000000346944695195361,0.197308918876289,0,0,0,0,0
XMR,0,0,0,0.0456887865184855,0.0404973702077165,0,0,0,0,0,0,0,0,0.244508440142946,0.338767767631474,0,0,0,0,0
MIOTA,0,0,0.0801323081052637,0,0.115325250746507,0,0,0,0,0,0,0.0412850235436137,0,0.333862266703419,0,0,0,0,0,0
DASH,0,0,0,0.115334143702825,0.224560752627619,0,0,0,0,0,0,0.103509863522924,0,0,0.088226187891848,0,0,0,0,0
NEO,0,0,0.406574375211361,0,0.166891614847808,0.063002002530979,0,0,0,0,0,0.19830738928511,0,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0769916831338469
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.136692820568343
VIX.INDEX,0,0,0,0,0,0,0,0.00000232902423718191,0.00000187612016156438,0,0,0,0,-0.00000129677720529189,0,-0.328018921344099,0,0,-2.68980653849239,0
