,BTC,ETH,XRP,BCH,ADA,LTC,NEO,XLM,EOS,XEM,MIOTA,DASH,XMR,TRX,ETC,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.0751588726847541,0,0.0179057911859894,0,0.0178553224905009,0.0995472604288426,0,0.0689035361233683,0,0.0375092424780241,0.0522443946374255,0,0,0,0,0,0
ETH,0,0,0,0.0116321218695305,0,0.220809433995412,0.0794702327398276,0,0.0502023683290975,0,0,0,0,0.032540674228699,0.0986108824632971,0,0,0,0,0
XRP,0,0,0,0,0,0,0,0,0,0.127601905062964,0,0,0,0.05688261344539,0,0,0,0,0,0
BCH,0,0,0,0,0,0.0430559942306151,0.00715645204063067,0,0.15316401053194,0.0680283760360674,0,0.430757917318944,0,0,0.0184178977133275,0,0,0,0,0
ADA,0,0,0.070006428643933,0,0,0,0,0.26571014351995,0.072563954717321,0.0909259472034771,0,0,0,0,0,0,0,0,0,0
LTC,0.0941977292221453,0,0,0.131594447906965,0,0,0,0,0.0157791115558953,0.129477099583425,0.0378242805435231,0.157560564255685,0,0,0,0,0,0,0,0
NEO,0,0.214737885065775,0,0,0.0354107093261977,0,0,0.108470729782994,0,0.0363563124241094,0,0,0.0782689855964524,0,0,0,0,0,0,0
XLM,0,0,0.0864813626885232,0,0.320253900100009,0,0,0,0.00000000000000000173472347597681,0,0.23093294400356,0,0.0184215923981733,0,0,0,0,0,0,0
EOS,0,0,0.126504017696927,0.059689236613917,0,0,0,0.0743295579000312,0,0.0432036435293712,0.0289097543835558,0,0.158312811208218,0.0544792683843537,0.0945457196154337,0,0,0,0,0
XEM,0,0,0.022777640935168,0.10641548490188,0.119402779979635,0.0851522565729071,0,0.300524274226983,0.0692838712230158,0,0.0412270646693956,0,0,0,0,0,0,0,0,0
MIOTA,0,0,0,0,0,0.153830089001565,0,0,0.0846481575566527,0.130394356739222,0,0,0,0,0.249893150899172,0,0,0,0,0
DASH,0,0,0,0.120548343835199,0.0515460768612511,0.0497543524908988,0,0,0,0,0,0,0,0.0747206264090177,0.163947931526152,0,0,0,0,0
XMR,0,0,0,0.0364303779070876,0.00749515691166347,0,0.161560864592753,0.0861105572440579,0.051085437885971,0,0.00342549531218906,0.23619538679356,0,0.00708666598797339,0.0629195448167389,0,0,0,0,0
TRX,0.114124634247411,0,0.0713399438744394,0.178463395404007,0,0.155058438249018,0,0,0,0,0,0.0201924704220842,0,0,0,0,0,0,0,0
ETC,0,0,0,0.157432784607211,0,0.0290687417268185,0,0,0,0.0816810668731828,0,0.136042132299306,0.0315237735799175,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0,0,0,0,0.00555698391085114,0,0,0,0,0.00284946757344253,0,0,0,0,0,0
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,-0.00264341785345249,0,0,0,0,0,0,0,0,0,0,0.00245625627034944,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,0,0,0,0,0.00199559322131782,0,0,0,0,0,0,0,0,0,0,-0.0265858948132028
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
