,BTC,ETH,XRP,LTC,EOS,BCH,BNB,XLM,TRX,ADA,BSV,XMR,MIOTA,DASH,MKR,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.0579399328711819,0.0883565362153251,0.00665484881058555,0,0,0,0.0692601037885153,0,0,0,0,0,0,0,0,0,0
ETH,0,0,0,0.143938572201555,0.195934178888996,0.168959038579161,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XRP,0,0.082957119852148,0,0.0934648137274739,0.126180833993599,0,0,0,0,0.084090953753829,0,0,0,0,0,0,0,0,0,0
LTC,0,0.0829162067777668,0,0,0.305107819984418,0,0.0758609029382448,0,0,0.211196337006928,0.00672999690133986,0,0,0,0,0,0,0,0,0
EOS,0,0.178552299923429,0,0.246124999717431,0,0.0978740652483064,0.00141471402396202,0,0,0.0759501745410995,0,0,0,0,0.0544294212794345,0,0,0,0,0
BCH,0,0,0,0.281088397008164,0.139134907446545,0,0,0,0,0.0522313118709835,0.057008733847691,0,0,0,0,0,0,0,0,0
BNB,0,0,0,0.215711049479986,0,0,0,0,0.222642720565707,0,-0.13793413479831,0.158818435301189,0,0,0.276477094933645,0,0,0,0,-0.0772058855059865
XLM,0,0.0707621876307357,0,0.0499511602516638,0,0.0737126471337262,0,0,0,0.26774052089561,0.00895918112923113,0,0.0673345100190326,0,0.00962811711337224,0,0,0,0,0
TRX,0,0,0,0,0.0995224395189739,0.145080657238283,0.0130635484788144,0.172039429206484,0,0,0.0349626719976657,0.0640471942933068,0,0,0,0,0,0,0,0
ADA,0,0.17609696790094,0,0.0663362822397232,0.267504651942829,0.0773718634354588,0,0,0,0,0,0,0.0756383797371631,0,0,0,0,0,0,0
BSV,0,0,0,0.0489342088781293,0.174537187289719,0.234414569999852,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XMR,0,0.136885479994977,0,0.0128597098123707,0.292362713092232,0,0.046959506047223,0,0,0,0,0,0,0,0,0,0,0,0,0
MIOTA,0,0,0,0,0.213885536375377,0.157629857386316,0,0,0,0.192788824074375,0,0,0,0,0,0,0,0,0,0
DASH,0,0,0,0,0.271469020577811,0,0,0,0,0.185198590873783,0,0,0,0,0,0,0,0,0,0
MKR,0,0.371054964649064,0,0,0.302801715067767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0157447075720014
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,0.000000773910946816703,0,0.00000105204357306218,0,0,0,0,0,0,0,0,0,0,0,0,-0.0804491095649598
VIX.INDEX,0,0,0,0.0000414048153623513,0,0,0,0,-0.00000249162155322687,-0.00000649647525514171,-0.0000136899432069819,0,0,0,-0.00000960298006692547,0,0,0,-2.33986060025751,0
