,BTC,ETH,XRP,LTC,BCH,EOS,BNB,BSV,XLM,ADA,TRX,XMR,DASH,ATOM,MIOTA,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0,0.0996131319350066,0.0794299346675206,0,0,0,0.0347620144908142,0,0.0431469228271816,0,0,0,0,0,0,0,0
ETH,0,0,0,0,0.0087601081548839,0.176944132683369,0,0,0.051918222270123,0.285705080536238,0,0.0399981710885157,0,0,0,0,0,0,0,0
XRP,0,0,0,0,0,0.190853297342309,0,0,0.0229144886090564,0.143639113380662,0,0.0554622545392035,0,0,0.0207050904061733,0,0,0,0,0
LTC,0,0,0,0,0.179095228338563,0.223527888492075,0,0,0,0.161529558426364,0.0320359500467583,0.0833234084335435,0,0,0,0,0,0,0,0
BCH,0.171419374594085,0.00264485438803848,0,0,0,0.213772843311455,0,0.029784136219122,0,0.11632030966953,0,0,0,0,0,0,0,0,0,-0.0141888678437764
EOS,0,0.1962439097482,0.168734868092298,0,0.313279216751489,0,0,0,0,0.0562595962664534,0,0,0,0.0407508496178049,0,0,0,0,0,0
BNB,0,0.0585606426323643,0,0.284087413412736,0,0,0,0.0363974827282839,0,0,0,0,0,0.0747554598096298,0,0,0,0,0,-0.0362404748859577
BSV,0,0,0,0,-0.00000000000000000346944695195361,0.195581333260144,0,0,0,0,0.248956160617969,0,0,0,0.289963183850963,0,0,0,0,0
XLM,0,0,0,0.0361827421382062,0,0.0631465842132292,0,0,0,0.326778178609501,0,0,0,0,0,0,0,0,0,0
ADA,0,0,0.204535242158989,0.0833308654814378,0,0.0921077435536403,0,0,0,0,0.27087533205758,0.0835381188524349,0,0,0.0545126316085612,0,0,0,0,0
TRX,0,0,0,0,0,0.178426930582161,0,0.0198746565004112,0,0.385906293766086,0,0,0,0,0,0,0,0,0,0.0764479653733533
XMR,0.102379221966449,0.11242051641543,0,0.0150094274403051,0,0.0538274624160475,0,0,0,0.161235125515286,0.0113561166354873,0,0,0.026693964873172,0.043044508654977,0,0,0,0,0
DASH,0,0,0,0,0,0.0637481462160935,0,0,0,0.246151468752378,0,0,0,0.0421861522102728,0.0379785798718468,0,0,0,0,0
ATOM,0,0,0,0,0,0.196371111032675,0.256427488797959,0,0,0,0.172378071005959,0,0.0273316788962287,0,0,0,0,0,0,0
MIOTA,0,0,0.149717970846384,0,0,0.235536803262799,0,0.138698896436007,0,0.173633510534627,0,0,0,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0535285855848769
CVIX.INDEX,0,0,0,0,0,0,0,-0.0347311933699323,0,0,0,0,0,-0.0000000000000000000000529395592033938,0,0,0,0,0,0.0644472837373352
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,0,0,0,-0.000000758902233795712,0,0,0,0,0,0,0,0,0,0,0,-0.0618169530163444
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
