,BTC,ETH,XRP,BCH,LTC,EOS,ADA,XLM,NEO,MIOTA,XMR,DASH,TRX,XEM,ETC,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0,0,0.0264741834658856,0,0,0.0552846355518341,0,0.164638795453916,0.23484970074189,0.0970318217441657,0,0,0,0,0,0,0
ETH,0,0,0.0250287580635867,0.142230957797367,0.105840706014539,0.0650249698368165,0,0.000000000000000000867361737988404,0,0,0.122066080745968,0,0,0,0,0,0,0,0,0
XRP,0,0,0,0,0,0,0.0741839994502606,0.163572172265552,0,0,0.132394586471066,0,0.0434115675508914,0,0.139081046435585,0,0,0,0,0
BCH,0,0,0,0,0.111198612412973,0.0000000000000000000271050543121376,0,0,0,0.127085965188373,0.108623634961075,0,0.021037602379741,0,0.121279666679701,0,0,0,0,0
LTC,0,0,0,0.15415099860324,0,0,0.0113941167336931,0,0,0,0.18796526803754,0,0.084794128079517,0.0120912090850803,0.137019169992927,0,0,0,0,0
EOS,0,0,0,0,0,0,0,0,0,0,0.224710472042878,0,0.0964510182475334,0.0242341698800187,0.239199079597949,0,0,0,0,0
ADA,0,0,0.189464419916352,0,0,0.136287780652247,0,0.216027754937554,0,0,0.0631205345754526,0,0.0297258829495594,0.100017279877747,0,0,0,0,0,0
XLM,0,0,0.216687323081815,0,0,0,0.131668738640126,0,0,0,0.141988440855521,0,0.048834188700801,0.0824709154544759,0.0202217733042384,0,0,0,0,0
NEO,0,0,0,0,0,0,0,0.00739814088679398,0,0.16536856369726,0.314826271107462,0,0,0,0.167861951332684,0,0,0,0,0
MIOTA,0,0,0,0,0.192186455715866,0,0,0,0.122102867036402,0,0.259557195227836,0,0.130071954636538,0,0.0663438028131024,0,0,0,0,0
XMR,0.237270159697438,0,0,0,0.0911417856515275,0,0,0.0355218342147478,0.0860696600873626,0.0874417284115471,0,0.377945105559594,0,0,0,0,0,0,0,0
DASH,0,0,0.116097567402477,0,0.0526428403994843,0.0232995935194506,0.0453418812755572,0,0,0,0.152779095788689,0,0.0722362950723721,0,0,0,0,0,0,0
TRX,0,0,0,0.209105051064634,0,0.0957894766010531,0,0,0.124931434411842,0.223376842261936,0.101523055571467,0,0,0.122173134908317,0,0,0,0,0,0.0707684870763532
XEM,0,0,0,0,0,0,0.120012692276395,0.267015324366366,0.0212469516856557,0,0,0,0.251763905059533,0,0,0,0,0,0,0
ETC,0,0,0,0.0541084265663468,0,0.242127826495207,0,0.181664599987397,0.15077298055729,0,0,0,0.049580953470861,0.0170453489207488,0,0,0,0,0,0
BV010082.INDEX,0,-0.0539786531003197,-0.0169650169788601,0,0,0,-0.010759274040611,0,0,0,0,0.0747620202226162,0,-0.0297946607555044,0.0126583649958821,0,0,0,0,-0.0424197704540215
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0369867156966897
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00343077672457011
SPX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0771296884821474
VIX.INDEX,0,0,0,-0.000515990338122415,0,-0.000261504587808677,0,0,0,0,0,0,0.000993592369487006,0.0000904966572388336,-0.0000903172692100314,0,0,0,-2.98590015397252,0
