,BTC,ETH,XRP,BCH,EOS,LTC,ADA,XLM,MIOTA,TRX,NEO,DASH,XMR,XEM,BNB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.0917125797257585,0,0,0.023856318804949,0,0.00927547151884419,0,0.0208198579724843,0,0,0.152939539389796,0,0,0,0,0,0
ETH,0,0,0.0869801556839444,0.152708946437685,0.0328742290965185,0,0.0532669925164028,0,0.0777322272688005,0,0,0,0,0,0,0,0,0,0,0
XRP,0,0,0,0.0910316134901319,0.0646368592943895,0,0.0876798706661048,0,0.0294796161257653,0.0227717538506175,0,0,0,0.332547316325769,0,0,0,0,0,0
BCH,0,0,0,0,0.0901836573941538,0,0.0482349145565686,0.158685097373068,0.257480068612641,0,0,0,0,0,0,0,0,0,0,0
EOS,0,0,0,0,0,0,0.20171142680014,0,0.0542598129545009,0.307745450989949,0,0,0,0,0,0,0,0,0,-0.0496399891076028
LTC,0,0,0.0392673681943019,0.204880924720859,0.0245649767593355,0,0,0.0237999213575242,0.0284671032327778,0,0,0,0,0.137072586347166,0,0,0,0,0,0
ADA,0,0,0,0.184193841127791,0.0839798473146968,0,0,0.235117427585922,0.0553035655172401,0.0225957527163939,0,0,0,0,0,0,0,0,0,0
XLM,0,0,0,0,0.103716020767135,0,0.252200371831006,0,0.038528401595609,0.0294389645416644,0,0,0,0.236805809649959,0,0,0,0,0,0
MIOTA,0,0,0,0.329022665797588,0,0,0.254420694869219,0,0,0,0,0,0,0.0835270055295629,0,0,0,0,0,0
TRX,0,0,0,0,0.155085158493832,0,0.06445273272984,0.320962322539571,0,0,0.208990581998724,0,0,0,0,0,0,0,0,0
NEO,0,0,0,0.0594258191098708,0.106182346664846,0,0.096595870256533,0,0.108822215510928,0.0210866461629619,0,0,0,0.156637618731578,0,0,0,0,0,0
DASH,0,0,0,0.223269049565137,0,0,0,0.0805570678358895,0.163894258947954,0,0.0153204054381545,0,0,0,0,0,0,0,0,0
XMR,0,0,0,0.172255791860804,0.0540076410495468,0,0,0.017394775400002,0.162728148976715,0.0864046686061494,0,0,0,0.0141765487283207,0,0,0,0,0,0
XEM,0,0,0.108429489559685,0.0619758625971066,0,0,0,0.221892672201472,0.232832068736739,0.00240543875615885,0.0187336226320019,0,0,0,0,0,0,0,0,0
BNB,0,0,0,0.0653430140199515,0,0,0.130643606283867,0,0.112377400298928,0,0,0,0,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0.000721462763919604,0.0283287051196957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.121016150101589
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0.00548344228440427,0,0,0.0114559857713269,0,0,0,0,0,-0.0112330092925334,0,-0.00000000000000000010842021724855,0,0,0,0.0143948239702306,0,0,0.0019316203345841
SPX.INDEX,0,0,0,0,0,0,0,0,0,-0.00000154304853639841,0,0,0,0,0,0,0,0,0,-0.0790018109895358
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
