,BTC,ETH,XRP,LTC,DASH,DOGE,XMR,XLM,XEM,DGB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.699462579546678,0.0143656640979769,-0.00815470009874888,0.0259601648742667,0,0,0,0,0,0,0,0
ETH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XRP,0,0,0,0,0,0.0990741206102307,0,0,0,0.0285375429191599,0,0,0,0,0
LTC,0.430604275938071,0,0,0,0,0.0139245461205619,0.00000000000000000010842021724855,0,0.00252962888589606,0,0,0,0,0,0
DASH,0.0909173800029483,-0.16926239863516,0,0,0,0,0,-0.167697386643742,0,0.158174002952759,0,0,0,0,0
DOGE,0,0.0643686456043717,0,0.536444717597433,0,0,0.0090708554534861,0.175871405130109,-0.0340103303100253,0.0107628103254482,0,0,0,0,0.0512542164811889
XMR,0,0,0,0,0,0,0,0.227476194266221,0,0,0,0,0,0,-0.0325007773123919
XLM,0,0,0,0,0,0.178547903590398,0.0377781976488021,0,0.0760154597381645,0.057593935736687,0,0,0,0,0.043199927529907
XEM,0,-0.0837571638565143,0,0.598433819395814,0.288037391748571,0,0,0.198118466265232,0,0.104646239134311,0,0,0,0,0
DGB,0.238421990363661,0,0.386398028625039,0,0.287741135055539,0,0,0.207392822174128,0.0500101646824873,0,0,0,0,0,0.0358901227248202
BV010082.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0380787810896975
CVIX.INDEX,0,0,0,0,0,0,0,0.00000153666915360297,0,0,0,0,0,0,0.0937250802186781
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,0,0.0000000000000000000000264697796016969,0,0,0,-0.00000399124965154707,0,0,0,0,-0.123845740833534
VIX.INDEX,0,0,0,0,0,0,0,0,0,0.10539880062898,0,0,0,0,0
