,BTC,INNBCL,ETH,XRP,BCH,BSV,LTC,BNB,EOS,TAGZ5,XTZ,XLM,LINK,ADA,TRX,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0,0.00410593515377422,0.061903528148028,0,0,0,0.00133849508296959,0.15447853882331,0,0,0.0633035988762301,0,0,0,0,0,0
INNBCL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ETH,0,0,0,0,0.169066713273722,0.135429394498613,0,0.0126512160561535,0,0.0168870907302555,0.23690479013642,0,0,0.0394290405138673,0,0,0,0,0,0
XRP,0,0.000366353117578356,0.0433313495553084,0,0.113601674089986,0.108132095515607,0,0.023962782192428,0,0,0.0912900311809943,0,0,0.0874258973804413,0,0,0,0,0,0
BCH,0,0,0.256798959576921,0,0,0.236542378837128,0,0,0.149428106913222,0,0,0,0,0.0835893344303762,0,0,0,0,0,0
BSV,0,-0.00100414196000394,0,0,0.573669842167453,0,0,0,0,0,0.00999246498535874,0,0.114400456409707,0,0,0,0,0,0,0
LTC,0,0.0018435388804038,0,0,0.0538878905895687,0,0,0,0,0,0.254207210343602,0,0.0346059399189127,0.106120645196829,0,0,0,0,0,0
BNB,0,-0.0018279327040015,0.356394892754705,0,0,0,0,0,0,0,0.134274921173821,0,0,0.0503373843915855,0,0,0,0,0,0
EOS,0,-0.000848007681089105,0,0,0.27798576467107,0.0777311852384307,0,0,0,0.014978892806014,0.133225488539331,0,0,0.0627829768866627,0,0,0,0,0,0
TAGZ5,0,0.00495565967479144,0.114246747554435,0,0.306477758997198,0,0,0,0,0,0.0169652699528317,0,0,0,0,0,0,0,0,0
XTZ,0,0.00153029333984936,0.366076972921578,0,0,0,0,0,0,0.0196778641366656,0,0,0.476466197438642,0,0,0,0,0,0,0
XLM,0,0.00321285349331198,0,0,0,0.0558521943535591,0,0,0,0,0.119930230059001,0,0.149418310558417,0.116439579351379,0,0,0,0,0,0
LINK,0,0.00157582309520439,0,0,0,0,0,0,0,0,0.62707885587083,0,0,0,0,0,0,0,0,0
ADA,0,-0.00199880563074071,0.0446756663682407,0,0.220576663784597,0,0,0.125781724845761,0,0,0.351152338254498,0,0,0,0,0,0,0,0,0
TRX,0,0.00128019049928136,0,0,0,0,0,0,0,0,0.228267887934126,0,0,0.270008083199159,0,0,0,0,0,0
BV010082.INDEX,0,-0.00146918607953561,0,0,0,-0.0087551216232024,0,0,0,0,0,0,-0.00659795339146057,0,0,0,-0.0942761389196308,0,0,0
CVIX.INDEX,0,-0.00000282739760151493,0,0,0,0,0,0,0,0,0,0,0,0,-0.0000103304548186424,0,0,0,-0.404017134265737,0
DXY.INDEX,0,0.0000000335815637889064,0,0,0,0,0,0,0,0,0,0,-0.000000823766659117481,0,0,-0.0000000000000000000271050543121376,0.0222739717964647,0,0,-0.0201146342433979
SPX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0230836528511316,0,0,-0.197539554271796
VIX.INDEX,0,0.0244410998900718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.149723411843334,0,-0.888191051823747,0
