,BTC,ETH,XRP,BCH,LTC,EOS,BNB,BSV,XLM,TRX,ADA,XMR,DASH,MIOTA,ATOM,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.0635476378540216,0,0.118084136672022,0,0,0,0,0.00882160088601398,0.135479110698198,0,0,0,0,0,0,0,0
ETH,0,0,0,0,0,0.175299116852616,0,0,0.244908845208928,0.0179321334889221,0.0451364299095059,0.12414329924748,0,0,0,0,0,0,0,0
XRP,0,0,0,0,0,0.162296105735577,0,0,0,0,0.163450808574506,0.119775045354562,0,0.0668279406168551,0,0,0,0,0,0
BCH,0,0,0,0,0,0.27136143672171,0,0.0212692334486309,0,0,0.130403893057149,0,0,0,0,0,0,0,0,0
LTC,0,0,0,0.192543866308935,0,0.27331790390405,0,0,0,0,0.0980145568899556,0,0,0,0,0,0,0,0,0
EOS,0,0.196344589334056,0.232230603958737,0.166894858799056,0.0606770213910338,0,0,0,0,0,0.0343652841174396,0,0,0,0.0270341408658988,0,0,0,0,0
BNB,0,0,0,0,0.215428907836896,0,0,0.0255042288013554,0,0,0,0.0367657594444726,0.0421998640658363,0,0,0,0,0,0,0
BSV,0,0,0,0.0954902917132336,0.0801780767513652,0.192798685586949,0,0,0,0.0450055223443965,0,0,0,0.260055906425059,0,0,0,0,0,0
XLM,0,0.251651532667767,0.0245579619137648,0,0,0.0312107957770773,0,0,0,0.0265788376062293,0.211097398663509,0.063078818844204,0,0,0,0,0,0,0,0
TRX,0,0,0.362522119889259,0,0.0286758902617667,0.093250632652644,0,0.0261664518442546,0.0888859359019105,0,0.0619385231865439,0,0,0,0,0,0,0,0,0
ADA,0,0,0.25019923427607,0.18230850754395,0,0,0,0,0,0.225886657160801,0,0.0626122088889737,0,0,0,0,0,0,0,0
XMR,0,0.139852417705066,0,0,0.0426228425820322,0,0,0,0,0.0885408496442322,0,0,0.274918460435523,0.0545342397907894,0.0335281891509419,0,0,0,0,0
DASH,0,0,0,0,0,0.112376392848559,0,0,0.210196352107918,0,0,0.0618319748392113,0,0,0.0203722020327069,0,0,0,0,0
MIOTA,0,0,0.382328808468761,0,0,0.106382597943404,0,0.0556305784722303,0.00136307818879035,0,0.0734641530921116,0.0727090400144943,0,0,0,0,0,0,0,0
ATOM,0,0,0,0,0.188531178671922,0,0.258080177639315,0,0.153632485243628,0.0611694485850625,0,0,0,0,0,0,0,0,0,-0.0256319309998614
BV010082.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.053528585584877
CVIX.INDEX,0,0,0,-0.00382805392961399,0,0,0,-0.0350451211603461,0,0,0,0,0,0,0,0,0,0,0,0.0607470538880021
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0442763821170293
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
