,BTC,ETH,XRP,BCH,LTC,ADA,XLM,NEO,EOS,MIOTA,DASH,XEM,XMR,ETC,TRX,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.134784090012256,0.119084227960375,0.00844374302578815,0,0,0.0298814706304683,0,0,0.0255338763739526,0.0630959032651659,0.0666424431998707,0.0504097111316753,0,0,0,0,0
ETH,0,0,0,0,0.0901729491092658,0,0,0.0709965492568208,0.0842403916276383,0,0,0.14307611825828,0,0.140780569817247,0.0254860146105519,0,0,0,0,0
XRP,0,0,0,0,0,0,0.219598725755937,0,0,0,0,0.199720662843912,0,0,0.130822701946272,0,0,0,0,0
BCH,0,0,0,0,0,0,0,0,0.156541288674766,0,0.343957874952239,0,0.117986673038623,0,0,0,0,0,0,0
LTC,0.268274979663601,0,0,0.143469220213222,0,0,0,0,0,0,0,0.0636992964071827,0,0.138318300411036,0,0,0,0,0,0
ADA,0,0,0,0,0,0,0.437323259297013,0,0.10894908665227,0,0,0.0585403195848797,0,0,0.089478089538431,0,0,0,0,0
XLM,0,0,0.136268689590293,0,0,0.253436352308819,0,0,0.0195185891996433,0,0,0.211580999221158,0,0.0517133630799746,0,0,0,0,0,0
NEO,0,0,0,0,0,0,0.195000869400083,0,0,0,0,0.114704796356024,0.246784448363338,0,0,0,0,0,0,0
EOS,0,0,0,0,0,0,0,0,0,0,0,0.0960799856700033,0.363639429124076,0.2857378470908,0.0227318757436695,0,0,0,0,0
MIOTA,0,0,0,0,0.291275974779242,0,0,0,0.084291623440883,0,0,0.0976876159204635,0,0.137480832246201,0,0,0,0,0,0
DASH,0,0,0,0.226255991323356,0,0.0393619085643099,0,0,0,0,0,0,0.114377775408282,0.129172319104586,0.0882320787291154,0,0,0,0,0
XEM,0,0,0.145224610773707,0.0757424670456074,0.0899610668618606,0.133704822394475,0.179393769551446,0.020933659133679,0.0893906938804357,0,0,0,0,0,0,0,0,0,0,0
XMR,0,0,0,0.171181092964611,0,0.0129329066262953,0.0380483024631556,0.211575884377356,0.0120839165740946,0,0.0508711857989314,0,0,0.124772201236973,0.0343120273302115,0,0,0,0,0
ETC,0,0,0.0248010281684043,0.17977297497605,0,0,0,0,0.201125266437969,0,0,0.0350317718957659,0.0912407956950519,0,0.0527512049964686,0,0,0,0,0
TRX,0,0,0.305819968426408,0.120197585036486,0,0.211857397142247,0,0,0.00000000000000000173472347597681,0,0.11537597337072,0.161921392723834,0,0.147724132001735,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0.0117355872872532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0490288735861735
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,0,0.0000000214750917444035,0,-0.00000000645501861361319,0,0,0,0,0,0,0,0,0,0,0,-0.054465134045209
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
