,BTC,ETH,XRP,BCH,LTC,DASH,XEM,MIOTA,NEO,XMR,ETC,ZEC,EOS,BAT,XLM,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0,0.101200148896557,0,0.00377081682546638,0.12997553181886,0.0269265432976794,0,0.04068970035148,0,0,0.0211708530745635,0.0804119115581615,0,0,0,0,0
ETH,0,0,0,0,0.0652422804059008,0,0.0249007152314851,0.110510993368096,0,0,0,0,0,0.0203186064813998,0.0331356547690273,0,0,0,0,0
XRP,0,0,0,0,0.0775755402686928,0,0,0,0.000489386488766354,0,0,0,0,0,0.295013777556943,0,0,0,0,0
BCH,0,0,0,0,0,0,0.515091361630671,0,0,0,0,0,0,0,0.0787431829463947,0,0,0,0,0
LTC,0,0,0,0.0141872902610323,0,0,0,0.0409576117697013,0,0,0.622531457405907,0,0,0,0.103071824282212,0,0,0,0,0
DASH,0,0,0,0.0235124237794839,0,0,0.0883897684388592,0.087239077130498,0,0,0,0.176295698562932,0,0.0750424638359229,0,0,0,0,0,-0.0159000051096767
XEM,0,0.0733840943439704,0,0.104489380040776,0,0,0,0.0768530478176146,0.0210469204853273,0,0,0,0,0.17599625794908,0.159526123987222,0,0,0,0,0
MIOTA,0,0.238600372661512,0,0,0,0,0.0758352565691557,0,0,0,0,0.256995072854192,0.0603148595350176,0.267281252886352,0,0,0,0,0,0.0296538891718043
NEO,0,0,0,0,0,0,0.302629035702859,0,0,0,0,0,0,0.279686194494685,0,0,0,0,0,0
XMR,0,0,0,0,0,0,0,0,0,0,0,0.141601065324294,0,0,0.225106521039185,0,0,0,0,0
ETC,0,0,0,0,0.358606268024491,0,0,0,0,0,0,0.0748756750158675,0.0348360168427241,0.019765051093886,0.069928073883419,0,0,0,0,0
ZEC,0,0,0,0.00167801302803674,0,0.0411371970354722,0,0.0469634950859491,0,0,0.00000000000000000173472347597681,0,0.0782747298698276,0,0.152662867107619,0,0,0,0,0
EOS,0,0,0,0,0.0687043227609798,0,0.0760922838223024,0.0248137476192697,0.0630412534034933,0,0,0.00211032210573306,0,0.00744235810058504,0.126223044326687,0,0,0,0,0
BAT,0,0.0610419767134027,0,0,0,0,0,0.079259331017481,0.248417307661132,0,0.223661953692458,0,0.0654836167577756,0,0,0,0,0,0,0
XLM,0,0,0.352049747759815,0,0,0,0,0,0,0.127413352865711,0.268945423577611,0.100191972863002,0,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0054460298622344
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,0,0,0,-0.00491844824775418,0,0,0,-0.00110002352253828,0,0,0.00413925129855965,-0.00470154517162047,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,0,0,0,0,0,-0.000000121125591678496,0,0,0,0,0,0,0,0,0,-0.0379372523096429
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
