,BTC,ETH,XRP,BCH,EOS,XLM,LTC,ADA,XMR,MIOTA,DASH,TRX,BNB,NEO,ETC,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0.00669383421569855,0.0369653494651369,0.0747911781785728,0,0,0,0.00714500768937803,0.0801555815721547,0,0,0,0,0,0,0,0,0,0
ETH,0,0,0.157286002197217,0,0,0,0,0,0,0.0102821632777817,0,0.267141414497981,0,0,0,0,0,0,0,0
XRP,0,0.118015206982169,0,0,0,0,0,0,0,0.28318273927092,0,0,0,0.0569678257541304,0,0,0,0,0,0
BCH,0,0,0.102125069746535,0,0.203889403388454,0,0,0.0444646160572236,0,0.0941462785361774,0,0,0,0.0752682006582131,0,0,0,0,0,0
EOS,0,0,0.134958040340021,0,0,0,0,0.0784105819140928,0,0.129685637605928,0,0.0292676837887983,0,0.156096765621024,0,0,0,0,0,0
XLM,0,0,0.132762650256139,0,0,0,0,0.235758332257455,0,0.0215735527880981,0,0.185469762634056,0,0,0,0,0,0,0,0
LTC,0,0,0.0384380873281466,0.0349620493737027,0,0,0,0.132114481185996,0,0.135793574046801,0,0,0,0.0425804480282156,0,0,0,0,0,0
ADA,0,0,0.149963997017426,0,0.112478821530262,0,0,0,0,0,0.0173694108809319,0.163140751200681,0,0.185362667988368,0,0,0,0,0,0
XMR,0,0.205721912748744,0.103758730968766,0.0410259088947155,0,0,0,0,0,0.140719370177452,0.0290238994917304,0,0,0.049418980867708,0,0,0,0,0,0
MIOTA,0,0,0.0054370051621995,0,0,0,0,0,0,0,0,0.48288428173986,0,0.448222993336797,0,0,0,0,0,0
DASH,0,0,0,0,0.112530583186963,0,0,0,0,0.20595203038722,0,0,0,0.171906481012971,0,0,0,0,0,0
TRX,0,0,0,0,0.122927465580112,0,0,0.277727701725602,0,0.199902540888657,0,0,0,0.116763448929872,0,0,0,0,0,0
BNB,0,0,0.0260584308023281,0,0.0592269752045988,0,0,0.0136490984643437,0,0.0432669471626848,0.0334998961932797,0.0330359567397128,0,0.160122246296319,0,0,0,0,0,0
NEO,0,0,0.0394610814748345,0,0.0633702479613867,0,0,0,0,0.285290304866973,0,0.206051358077017,0,0,0,0,0,0,0,0
ETC,0,0.207586416838392,0.0194965652637715,0,0.0704256460231629,0,0,0,0,0.180374373779873,0,0,0,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0,-0.0000000000000000867361737988404,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0649793673756323
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0000000392210297895367,0,0,0,0,0,-0.0446763858996342
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
