,BTC,XRP,ETH,BCH,EOS,XLM,BSV,LTC,ADA,XMR,TRX,MIOTA,DASH,BNB,XEM,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0.136763399352358,0.0819023908133248,0,0,0.0041642184302609,0,0,0,0.00611425450644041,0.0563781375896784,0,0,0,0,0,0,0,0
XRP,0,0,0.0360607324428849,0,0,0.248662419725772,-0.0277012302038441,0,0,0,0,0.26953872078668,0,0,0,0,0,0,0,0
ETH,0,0.073855143623264,0,0.194860797907401,0,0,0,0,0.074358348707071,0,0,0,0,0,0,0,0,0,0,0
BCH,0,0,0.201966376894485,0,0,0,0.0441604946428789,0,0.496249681208196,0,-0.000000000000000000433680868994202,0,0,0,0,0,0,0,0,0
EOS,0,0.0608476759776478,0,0.208862970621254,0,0,0,0,0,0,0.0236014128192374,0,0,0,0,0,0,0,0,0
XLM,0,0.265025789755101,0,0.0819598651750329,0,0,0,0,0.42900822517159,0,0.0500004280663425,0,0,0,0,0,0,0,0,-0.0151683559662772
BSV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LTC,0,0.00565634344941176,0.0354073032189833,0.0795834730190573,0,0,0,0,0.121114011188052,0,0,0.256223649899988,0,0,0,0,0,0,0,0
ADA,0,0,0.0731785910763031,0.238807195625146,0,0.233503464848329,0,0,0,0,0,0.0889559881195998,0,0,0,0,0,0,0,0
XMR,0,0,0,0.0523770244515794,0,0,0.00538714448829943,0,0.057776854860616,0,0,0.282468277701336,0.0814322042491168,0,0,0,0,0,0,0
TRX,0,0,0.230652280074694,0.10826473730182,0,0.0661990815086846,0,0,0.0600389758788927,0,0,0.136551169938332,0,0,0,0,0,0,0,0
MIOTA,0,0,0,0.148051425969203,0,0,0.0229776306907018,0.0843798769975999,0.194001970682857,0,0.0278967036733679,0,0,0.139096019777704,0.00688105379110096,0,0,0,0,0
DASH,0,0,0.226926539518759,0,0,0,0,0,0,0,0.0124660212715083,0,0,0,0.138695365922947,0,0,0,0,0
BNB,0,0,0.0805919215979711,0.0667914804816215,0,0,0,0,0,0,0.123384134506962,0.0497187174824451,0,0,0,0,0,0,0,0
XEM,0,0,0,0.0907585090720665,0,0,0,0,0,0,0.107406057321444,0.113018044727425,0.14545972611139,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0125866069804682
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.018543693947552
DXY.INDEX,0,0,0,0,0,0,0.00470909016726166,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0917287900446221
VIX.INDEX,0,0,0,0,0,-0.00000433975411716929,0,0.000000518660915493208,0,0,0,0,0,0,-0.0000019262646357637,0,0,0,-4.05636134096215,0
