,BTC,ETH,XRP,BCH,EOS,LTC,XLM,ADA,TRX,MIOTA,NEO,DASH,XMR,BNB,ETC,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.145979649754027,0,0.0630158437494394,0.00152580463285321,0,0,0.0587917386835373,0,0.040970111930392,0.0326318464093847,0,0,0,0,0,0,0,0,0
ETH,0,0,0,0.133173879519226,0.0244435827593424,0,0,0.132550496087496,0.0311473205149587,0.0418563315238708,0,0,0,0,0,0,0,0,0,0
XRP,0,0,0,0.0719353691329663,0.126073412299023,0,0,0.125450831481698,0.094612415301027,0.104092011272171,0,0,0,0,0,0,0,0,0,0
BCH,0,0,0,0,0.167958612453772,0,0,0,0,0.379429130575529,0.0326298737895128,0,0,0,0.0669916983110176,0,0,0,0,0
EOS,0,0,0,0,0,0,0,0.378332691539745,0.216765442582332,0,0,0,0,0,0,0,0,0,0,0
LTC,0,0,0,0.179123724745164,0.0362986878667598,0,0,0.0995192867363981,0.0545492933003052,0.0880744727080519,0,0,0,0,0,0,0,0,0,0
XLM,0,0,0,0,0.143292436803235,0,0,0.148197276658619,0.0796267120547548,0,0.131539755682712,0,0,0,0,0,0,0,0,0
ADA,0,0,0,0.127013933635864,0.138233306154174,0,0.160545561992442,0,0.105725413590033,0.0816680949580635,0,0,0,0,0,0,0,0,0,0
TRX,0,0,0,0,0.173043502161328,0,0.134270788083377,0.197101582933772,0,0,0.249898293068346,0,0,0,0,0,0,0,0,0
MIOTA,0,0,0,0.24130437354564,0,0,0.0273120142176034,0.222663001317515,0,0,0.125348829652068,0.194668653949377,0,0,0,0,0,0,0,0
NEO,0,0,0,0.066651216171487,0.1349811463979,0,0,0.106591836016798,0.145917915548273,0.124643396510817,0,0,0,0,0,0,0,0,0,0
DASH,0,0.0841416397751946,0,0.274537012486476,0,0,0.0750931568430018,0,0,0.0286060842279581,0.0132131627887186,0,0,0,0.0821247552653109,0,0,0,0,0
XMR,0,0,0,0.200354951915296,0.136315876973494,0,0,0.0480652720087863,0.0606730185653775,0.0595481651674757,0,0,0,0,0,0,0,0,0,0
BNB,0,0,0,0,0.0512065937300276,0,0,0.190015913308588,0,0.0807327369783179,0,0,0,0,0.20214068011218,0,0,0,0,0
ETC,0,0,0,0.158564489203918,0,0,0,0,0.203990552047395,0.162683790588111,0,0,0,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0950763540670706
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,0,0,0.00936853395629548,0,0,0,0,0,-0.00897304045256239,0,-0.00665288060597464,0.00039811661703446,0.00514403438114678,0,0.0240038237017369,0,0,0
SPX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0471201578766256
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
