,BTC,ETH,XRP,BCH,EOS,XLM,LTC,ADA,MIOTA,TRX,ETC,XMR,NEO,DASH,BNB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.219357777281308,0,0,0,0,0,0,0,0.075289607285798,0,0,0,0,0,0,0,0
ETH,0,0,0,0.21980369994377,0.123981580315282,0,0,0,0.0694328527176887,0.10749830216964,0,0,0,0,0,0,0,0,0,0
XRP,0,0,0,0,0.169216395968797,0,0,0,0.263605889775873,0.027282091221386,0,0,0,0,0,0,0,0,0,0
BCH,0,0,0,0,0.0724241871522472,0,0,0.138132621278798,0.0765520661972395,0.223555342023877,0,0.10336610185301,0,0,0,0,0,0,0,0
EOS,0,0,0,0.323037670687001,0,0,0,0.0781099255191906,0.147394413003232,0.0978941791795291,0,0.0398422893839468,0,0,0,0,0,0,0,0
XLM,0,0,0,0,0,0,0,0.511891797736301,0,0,0,0.0628967733896387,0,0,0,0,0,0,0,0
LTC,0,0,0,0.417969784365563,0.030381334371676,0,0,0,0.0723134655202317,0,0.0427160506922176,0.0160374156465713,0,0,0,0,0,0,0,0
ADA,0,0,0,0.0111054149045313,0.217422563766513,0.15554125418201,0,0,0,0.188483500285309,0,0,0.0159257655147707,0,0,0,0,0,0,0
MIOTA,0,0,0,0.173610217414245,0.22350532833619,0.0133490121055506,0,0,0,0,0.10515399429389,0,0.400480465464359,0,0,0,0,0,0,0
TRX,0,0,0,0,0.163683778490258,0.0572717271730141,0,0.167297091488964,0.182952831129844,0,0,0,0,0,0,0,0,0,0,0
ETC,0,0,0,0,0,0,0.166722229358219,0,0.120953444757823,0,0,0.116933062181331,0,0,0,0,0,0,0,0
XMR,0,0,0,0.47641534578111,0,0,0,0,0,0,0,0,0.251701331466207,0,0,0,0,0,0,0
NEO,0,0,0,0,0,0.0921132882621121,0,0.204352745835338,0.201517689357054,0.0888782499486763,0,0.226381765640601,0,0,0,0,0,0,0,0
DASH,0,0,0,0.111720756610473,0,0.0707754854084233,0,0.00112990299053969,0.0778572407578538,0,0.00000000000000000173472347597681,0,0.22814321715997,0,0,0,0,0,0,0
BNB,0,0,0.0842390460585104,0,0.0690543432337642,0.0507757861470038,0,0.13625074362647,0,0,0.208437146583273,0,0,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0337488269684624
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,-0.0000712998661989074,0,0,0.0000173934677734599,0,0,0,0,0,0,0,0,0,0,0,0.0317730986725559,0,0,-0.0106534954337271
SPX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0497085557692439
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
