,BTC,ETH,XRP,BCH,LTC,DASH,XEM,NEO,MIOTA,XMR,ETC,ZEC,ADA,XLM,EOS,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0,0.0871667478945502,0,0.035662741944561,0.0587110004035574,0.0940550681416206,0,0.0450273516668234,0,0,0.11406792958702,0,0,0,0,0,0
ETH,0,0,0,0,0.0805495944924628,0,0,0,0.0933627553323124,0,0,-0.000000000000000000216840434497101,0,0.0514853421293218,0,0,0,0,0,0
XRP,0,0,0,0,0.0541719911989488,0,0,0.00376496866077645,0,0,0,0,0,0.336580622316375,0,0,0,0,0,0
BCH,0,0,0,0,0,0,0.209159115112065,0,0.0229265087241505,0,0.223628844048901,0.0517505025037996,0,0.0490262136431557,0,0,0,0,0,0
LTC,0,0,0,0.00465858340980044,0,0,0,0.0106306152511306,0.0195781574929964,0,0.630466207783721,0,0,0.0225455821778458,0,0,0,0,0,0
DASH,0,0,0,0.0219018564500936,0,0,0.181679006283319,0.0124581420674269,0.0715542352238255,0,0,0.150494980157865,0,0,0,0,0,0,0,0
XEM,0,0.172627635440622,0,0.0617911564118274,0.0390924024708893,0.00000000000000000010842021724855,0,0,0.0979511413477989,0,0,0,0,0.188251739762663,0,0,0,0,0,0
NEO,1.40172395814224,0,0,0.0750111247490253,0,0,0,0,-0.150497581936808,-0.117353906271923,0,0,0,0,0,0,0,0,0,-0.161940860904223
MIOTA,0.135317192757879,0,0,0,0,0.280430133136112,0.17350615285863,0.0458547621654268,0,0,0,0,0,0,0.300552690592139,0,0,0,0,0.193099135956077
XMR,0,0,0,0,0,0,0,0,0,0,0,0.141601065324294,0,0.225106521039185,0,0,0,0,0,0
ETC,0,0,0,0,0.395211428804243,0,0,0,0,0,0,0.0742538381036411,0,0,0.0226468582634605,0,0,0,0,0
ZEC,0,0,0,0,0,0.11326487681546,0.0529453266287234,0,0,0,0.0462664112722346,0,0,0.183622759843742,0.11461399963435,0,0,0,0,0
ADA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XLM,0,0.172744743438311,0.373148746006086,0,0,0,0,0,0,0.0999197715980492,0.268227163852405,0.152551316968162,0,0,0,0,0,0,0,0
EOS,0,0,0,0,0.135109326160111,0,0.0939096431134421,0.0849659096102173,0.0439031611136001,0,0,0.0390942898705075,0,0.128231376355407,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0,0,0,0,0,0,-0.0117476978445625,0,0,0,0.00827156781662393,0,0,0,0,-0.0366226876140441
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,0,0,-0.000000331089577787591,0.000000392146933229195,0,-0.000000597072151063037,0,0,0,0,0,0,0,0,0,-0.0379258854813996
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
