,BTC,ETH,XRP,BCH,LTC,EOS,ADA,XLM,NEO,MIOTA,XMR,TRX,DASH,XEM,ETC,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0,0,0.0408170389794819,0,0,0.0357232979365829,0.00638114259685944,0.16223945667508,0.113304950196069,0.22793567170375,0,0,0,0,0,0,0
ETH,0,0,0.0182512484738857,0.0687737560604186,0.238956422429062,0.0623400431126877,0,0,0,0,0.0687385231542864,0.0110599568189068,0,0,0,0,0,0,0,0
XRP,0,0,0,0,0,0.00975386322012907,0.0783656089477093,0.1297154643015,0,0,0.165200798871511,0.0256369037859704,0,0.0492720521112596,0.145589536531323,0,0,0,0,0
BCH,0,0,0,0,0.143725851946131,0,0,0,0,0.157528846837583,0.0681778711705868,0,0,0,0.0693136768798497,0,0,0,0,0
LTC,0,0,0,0.152662019465152,0,0,0.0135236956201436,0,0,0,0.19774320445698,0.0734336691675628,0,0.0203281361815101,0.135609479042982,0,0,0,0,0
EOS,0,0,0.120503319210764,0,0,0,0,0,0,0,0.184836393132983,0.0273279065438072,0,0.0039723253437519,0.248565673789746,0,0,0,0,0
ADA,0,0,0.223863724760074,0,0,0.173018301229752,0,0.166932575147976,0,0,0.0192017393063838,0.0821391917705163,0,0.0619319853990137,0,0,0,0,0,0
XLM,0,0,0.213435765399319,0,0,0,0.130722744140304,0,0,0,0.103630452186545,0.097935403869602,0,0.0437970260185937,0.0483732253034815,0,0,0,0,0
NEO,0,0,0,0,0,0,0,0,0,0.252224219824008,0.191205867649465,0,0,0,0.164059302244099,0,0,0,0,0
MIOTA,0,0,0,-0.00000000000000000173472347597681,0.153456893238104,0,0,0,0.0792626936218086,0,0.333389541191533,0.0902593845063327,0,0,0.104643661661841,0,0,0,0,0
XMR,0,0,0,0,0.159618134051468,0,0,0,0.241029481374144,0.0283496835715473,0,0.0138683824207829,0.338663881208735,0,0,0,0,0,0,0
TRX,0,0,0,0.223183883723849,0,0.0887149652857422,0,0,0.132982625985334,0.192587429659928,0.0988032960338527,0,0,0.111305779538807,0,0,0,0,0,0.0602869372611788
DASH,0,0,0.132550559568254,0,0.0298654096357072,0.00936970115656595,0,0,0,0,0.153520259075804,0.0915976075786872,0,0,0,0,0,0,0,0
XEM,0,0,0,0,0,0,0.176527466714619,0.0531526830780213,0,0,0,0.316474705896931,0,0,0,0,0,0,0,0
ETC,0,0,0,0.107948846215937,0,0.248104338873972,0,0,0.164494027977174,0,0,0.0538962898655438,0,0.136801345925124,0,0,0,0,0,0
BV010082.INDEX,0,0,-0.0551868856570651,0.0773780592671489,0,0,-0.0142171736531129,0,-0.00291037303781832,0,0,-0.0295140090851101,0.0189531674006008,-0.0153497906609738,0,0,0,0,0,-0.0361329618372147
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0369870311068292
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00307874002663243
SPX.INDEX,0,0,0,0,0,0,0,0,0,0,0,-0.000000958061724213091,0,0.00000074068818076248,0,0,0,0,0,-0.0771280007473623
VIX.INDEX,0,0,0,-0.0932528197003683,0,-0.0372943843734922,0,0,-0.00640647357322244,0,0,0.162563083572277,0,0,-0.012199826042358,0,0,0,-1.25162800922151,0
