,BTC,ETH,XRP,BCH,EOS,XLM,LTC,ADA,XMR,TRX,MIOTA,DASH,BNB,NEO,ETC,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.0312088257814456,0.00503353531632197,0.0493809933689521,0.0492834580145093,0,0.0109210735164402,0,0.00674179219662513,0,0.0634961694032265,0.0234167096938068,0,0,0,0,0,0,0,0
ETH,0,0,0.119779536758521,0.0140857059074985,0,0,0,0.100477519027055,0,0.174852868554042,0.10757641304477,0,0,0,0,0,0,0,0,0
XRP,0,0.10142530885205,0,0,0,0,0,0,0,0,0.21620184930432,0,0,0.120494948580751,0,0,0,0,0,0
BCH,0,0.0429736935416632,0.0813822833276688,0,0.0232902512216011,0,0,0.150385639864515,0,0.121237555485959,0.0856051387410718,0,0,0,0,0,0,0,0,0
EOS,0,0,0.10211914520109,0,0,0,0,0.0936471173330313,0,0,0.2562765870131,0,0,0.130783903262449,0,0,0,0,0,0
XLM,0,0,0.178658875347956,0,0,0,0,0.30898738993506,0,0.079474026024533,0,0,0,0,0,0,0,0,0,0
LTC,0,0,0.0245527887879604,0.0432946851700722,0,0,0,0.176152210556179,0,0,0.11023396919467,0,0,0.0644896015956256,0,0,0,0,0,0
ADA,0,0,0.161606498011687,0,0.0862734737855606,0,0,0,0,0.217555126391567,0,0.00298177881309621,0,0.153485466230348,0,0,0,0,0,0
XMR,0,0.273423470221977,0.0918552996811879,0,0,0,0,0,0,0,0,0.0175531138893246,0,0.157521743611458,0,0,0,0,0,0
TRX,0,0.113048660567513,0,0,0,0,0,0.293096620665167,0,0,0.247880600238807,0,0,0.0895714939716877,0,0,0,0,0,0
MIOTA,0,0,0.0179897153987376,0,0,0,0,0,0,0.196545941146877,0,0,0.158199975158493,0.562774133229103,0,0,0,0,0,0
DASH,0,0,0.0818710193205299,0,0,0,0,0,0,0,0.00786255105011514,0,0,0.284526194868464,0,0,0,0,0,0
BNB,0,0,0.0123009140008322,0,0,0,0,0,0,0.0753859209914388,0.0784002232383151,0,0,0.151282527356802,0,0,0,0,0,0
NEO,0,0,0.0522188493718887,0,0.00650227943923164,0,0,0.0125820263223685,0,0.0377187809749696,0.465966296660899,0,0,0,0,0,0,0,0,0
ETC,0,0.0717850433161469,0.0849048569775429,0,0,0,0,0,0,0,0.0984823459525845,0,0,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0.025602226807879,0,0,-0.0416345860006894,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0376349465212555
CVIX.INDEX,0,0,0.0116517293053979,0,-0.0023846761748549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0431534598663446
DXY.INDEX,0,0,-0.00370117584265001,0,0,0,0,0,0,0,0,0.000718837934710148,0,0,0,0,0.040108336207905,0,0,-0.00325842757988416
SPX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0446068380955656
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00000819879714174699,0,0,0.263673735821739,0,0,0
