Var1,Freq
XRP,93
INNBCL,90
TAGZ5,80
ETH,73
BTC,70
BSV,63
XTZ,37
EOS,34
LINK,27
LTC,27
BCH,25
ADA,19
XLM,18
BNB,17
XMR,17
