Var1,Freq
BTC,112
ETH,76
LTC,61
BSV,57
INNBCL,57
XRP,44
TAGZ5,42
XLM,39
ADA,37
BCH,30
EOS,29
LINK,29
XMR,29
BNB,24
XTZ,24
