Date,FRM
2020-01-01,0.28030954
2020-01-02,0.27084509
2020-01-03,0.27233750
2020-01-04,0.26779927
2020-01-05,0.28996626
2020-01-06,0.28423375
2020-01-07,0.26074811
2020-01-08,0.26370175
2020-01-09,0.30045739
2020-01-10,0.30797402
2020-01-11,0.29094697
2020-01-12,0.28502369
2020-01-13,0.28324667
2020-01-14,0.29505445
2020-01-15,0.31987115
2020-01-16,0.32502919
2020-01-17,0.31239240
2020-01-18,0.34185474
2020-01-19,0.30850051
2020-01-20,0.33659904
2020-01-21,0.31915826
2020-01-22,0.31594827
2020-01-23,0.31898781
2020-01-24,0.32065577
2020-01-25,0.28576709
2020-01-26,0.27014683
2020-01-27,0.27133234
2020-01-28,0.27966138
2020-01-29,0.27669710
2020-01-30,0.28809246
2020-01-31,0.29762332
2020-02-01,0.28422012
2020-02-02,0.28336418
2020-02-03,0.29181255
2020-02-04,0.29840961
2020-02-05,0.31127496
2020-02-06,0.30718017
2020-02-07,0.27630036
2020-02-08,0.27613666
2020-02-09,0.29452288
2020-02-10,0.28373458
2020-02-11,0.29837928
2020-02-12,0.31803020
2020-02-13,0.30552511
2020-02-14,0.32877102
2020-02-15,0.35132363
2020-02-16,0.36917801
2020-02-17,0.36328036
2020-02-18,0.29050392
2020-02-19,0.31592570
2020-02-20,0.31737712
2020-02-21,0.32368555
2020-02-22,0.34431050
2020-02-23,0.32827071
2020-02-24,0.33932748
2020-02-25,0.40159896
2020-02-26,0.39056354
2020-02-27,0.38158759
2020-02-28,0.40749937
2020-02-29,0.43123695
2020-03-01,0.44364734
2020-03-02,0.43349453
2020-03-03,0.43921395
2020-03-04,0.41927736
2020-03-05,0.43127660
2020-03-06,0.39158429
2020-03-07,0.40245323
2020-03-08,0.49670578
2020-03-09,0.51197242
2020-03-10,0.44172805
2020-03-11,0.44752553
2020-03-12,0.76261602
2020-03-13,0.82200433
2020-03-14,0.78698278
2020-03-15,0.77072560
2020-03-16,0.77814004
2020-03-17,0.76244672
2020-03-18,1.15231053
2020-03-19,0.84189708
2020-03-20,0.81311863
2020-03-21,0.79953731
2020-03-22,0.83007797
2020-03-23,0.82782480
2020-03-24,0.89005292
2020-03-25,0.87336107
2020-03-26,0.84865466
2020-03-27,0.87559569
2020-03-28,0.88547778
2020-03-29,0.85100868
2020-03-30,0.86699175
2020-03-31,0.86995435
2020-04-01,0.87086359
2020-04-02,0.86488049
2020-04-03,0.88024104
2020-04-04,0.83979271
2020-04-05,0.83778865
2020-04-06,0.87772820
2020-04-07,0.83163641
2020-04-08,0.90635572
2020-04-09,0.86241422
2020-04-10,0.90394518
2020-04-11,0.90908482
2020-04-12,0.88684238
2020-04-13,0.95901755
2020-04-14,0.93697267
2020-04-15,0.93385059
2020-04-16,0.94645970
2020-04-17,0.88115087
2020-04-18,0.89086459
2020-04-19,0.98219757
2020-04-20,0.90025189
2020-04-21,0.91792594
2020-04-22,0.89764521
2020-04-23,0.91257784
2020-04-24,1.01362954
2020-04-25,1.01533144
2020-04-26,0.93395857
2020-04-27,0.93124807
2020-04-28,0.93882320
2020-04-29,0.90304143
2020-04-30,0.95412186
2020-05-01,0.89916980
2020-05-02,0.90400213
2020-05-03,0.92642773
2020-05-04,0.92149843
2020-05-05,0.91513241
2020-05-06,0.86480012
2020-05-07,0.87877681
2020-05-08,0.83022334
2020-05-09,0.86461916
2020-05-10,0.78720957
2020-05-11,0.83411647
2020-05-12,0.83278751
2020-05-13,0.85822925
2020-05-14,0.56119724
2020-05-15,0.53377651
2020-05-16,0.54316827
2020-05-17,0.52412847
