Var1,Freq
BCH,81
ADA,79
BNB,73
XMR,69
XTZ,65
EOS,63
LINK,61
XLM,59
BSV,33
INNBCL,27
LTC,24
TAGZ5,19
XRP,15
BTC,12
ETH,10
