Var1,Freq
BTC,95
LTC,83
ETH,63
INNBCL,57
BCH,44
BSV,44
XRP,44
LINK,40
BNB,36
XMR,36
XLM,35
TAGZ5,34
ADA,33
EOS,24
XTZ,22
