Var1,Freq
BCH,74
LINK,74
XMR,70
BNB,64
EOS,59
ADA,56
TAGZ5,48
XTZ,47
BSV,44
INNBCL,38
XLM,34
XRP,32
LTC,28
ETH,19
BTC,3
