Var1,Freq
BCH,79
EOS,63
XMR,63
XTZ,62
ADA,60
LINK,60
BNB,56
BSV,51
XLM,51
TAGZ5,43
INNBCL,42
XRP,28
LTC,16
ETH,12
BTC,4
