Var1,Freq
BTC,116
XRP,97
INNBCL,87
BSV,65
TAGZ5,65
LTC,53
LINK,35
ETH,31
ADA,27
BNB,25
BCH,23
XTZ,23
XMR,18
XLM,13
EOS,12
