,BTC,ETH,XRP,DASH,LTC,XEM,XMR,ETC,ZEC,DOGE,XLM,DGB,NEO,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,-0.10804259763251,-0.012260463512112,-0.0927534068999512,-0.0112581958702749,0,0,-0.0881419398533875,-0.0123942004512852,0.0869212561329262,-0.0634775242041508,0,-0.151269070044028,0,0,0,0,0
ETH,0,0,-0.0469614310502791,0.311427179733278,0,0,0.319442107611015,-0.0405881892639375,0,0,0.189387455001555,0.00266622615104545,0,0,0,0,0,0.121696694093148
XRP,0,-0.526131076498221,0,0,-0.385262761902957,-0.541972608676256,0,0.0933895270322264,0,0.599740648341389,1.4236552111886,-0.137172706115731,0,0,0,0,0,0
DASH,0,0.326448363186896,-0.170959373119043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LTC,0,0,-0.108976508371704,0.455318845269783,0,0,0,0,0,0.416715636337097,0.353937697187393,0,0,0,0,0,0,0
XEM,0,0,-0.124913901861773,0,-0.156971931859681,0,0,0,0,0,0,0,0,0,0,0,0,0
XMR,0,0.287185964029532,0,0,0.0269810599131421,0.0761053531999535,0,0,0,0,-0.0681658295419556,0.0166502489372411,0,0,0,0,0,0
ETC,0,0,0,0,0.108062553267328,0,0,0,0,0,0,-0.0457712402550918,0,0,0,0,0,0
ZEC,0,0,0.0120628183665494,0,0,0.0695555716043866,0,0.250028573828536,0,0,0,0,0,0,0,0,0,0
DOGE,0,0,0.174416044723711,0,0.0760821351958708,0,0,0,0,0,0.185807666855542,0.0895630067705108,0,0,0,0,0,0
XLM,0,0.414632020221347,0.3464732870696,0,0.0884406302658111,0.144937306691796,0,0,-0.161305046381989,0.320575851526924,0,0,0,0,0,0,0,0
DGB,0,0,-0.429315929571081,-0.483916852467235,-0.154717035333924,0,0,-0.323321499425443,0,0.801762224153435,0,0,0,0,0,0,0,-0.556643527936883
NEO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BV010082.Index,0,0,0.00874380328791122,0,-0.0370610700800394,0,0,0,0,0,0,0.0179193568044403,0,0,0,0,0,-0.0670675526111174
CVIX.Index,0,0,1.32348898008484e-23,0,0.0106294590715352,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.Curncy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.Index,0,0,0.00505350698308303,0,0.00452926052528964,0,0,0,0,-0.013645886943982,0,0.00757608732499997,0,0,0,0,0,-0.0113513777660483
VIX.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
