,BTC,ETH,BCH,XRP,LTC,DASH,NEO,MIOTA,XMR,XEM,ETC,EOS,ZEC,ADA,XLM,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,-0.214257561303345,0,0.377186289384973,-0.311055223176461,0.0105357770724536,0.273037769229058,-0.10588093581297,0,-0.15348794120282,0.183427368217169,0,0,-0.454996691488004,0,0,0,0,-0.273751713704587
ETH,0,0,-0.0391466412523395,0,0,0.113535471938998,0.00375616216861059,0,0.0322818329772741,0,0.161031320501309,0.11834998830587,0,0.165541338267118,0,0,0,0,0,-0.116775825804929
BCH,-2.432612453755,0,0,0,0,0,0,1.17574226011119,-0.176798619937516,-1.38777878078145e-17,0.196872881815104,0.491976799693517,-1.70282663749219,-0.0417358751054856,-1.183427812534,0,0,0,0,-1.1522043897721
XRP,0,0,0,0,0.117374869992717,-0.0359180650712962,0.00772253833433805,0.0354804501402143,0,0,0.00741207958626594,0,0,0.0569415564116612,0.144903462581562,0,0,0,0,0
LTC,0,0,-0.072007285397431,0.5669403891006,0,0,-0.0784177242093784,0,0,0.019858200854306,0.0668624530353656,0.0474388650689559,0.0929647421659406,0.0924991044851966,0,0,0,0,0,0
DASH,-0.196350003644987,0,0.0675764362709879,0,0,0,-4.33680868994202e-19,0,0,0,0,0,0.342067525181662,0,0,0,0,0,0,0.0105881086796195
NEO,0,0,0,0,0,0.0391635526563714,0,0,0.0294538874836798,0.262221011861418,0.028082359213923,0.15656574863916,0,0.254257844266713,1.38777878078145e-17,0,0,0,0,-0.210391686097507
MIOTA,0,0,0.104992194766432,0.243806041725547,-3.46944695195361e-18,0,-0.0751732925726894,0,0.312099409371846,0,0.0910606683991955,0.124249703416126,0.188618814525791,0.34240895032682,0,0,0,0,0,0.395422102353874
XMR,0,0,0,0,0,0.185488705028935,0.125847663309974,0.222734706040187,0,0.162724245448074,0.0173712774390995,0.0482459335641904,0,0.0564970218080241,0,0,-0.72795752121444,0,0,0
XEM,0,0,0,0,0,0,0.00768399422738535,0,0,0,0,0,0,0.414900442278877,0,0,0,0,0,0
ETC,0,0.622410947307275,0.104496197651478,0,0,-0.225779100479458,0,0,0,0,0,0,0,0.000616733473283088,0,0,0,0,0,0
EOS,0.119347245398975,1.69735806075942,0.0608904720447275,0,0,0.0498552594355449,0.145775712655987,0,0,0,0,0,0,-0.707319666588234,0.844224022242713,0,0,0,0,0.266786531137388
ZEC,0,0,-0.0721689018385003,0,0.0877312412795818,0.385776668612872,0.0172678627220674,0.29080189769468,0,0,0.0361209583037791,0.0302302696036287,0,0.00723746384187675,0,0,0,0,0,-0.131566292675311
ADA,0,0,8.67361737988404e-19,0,0.209599854348194,-0.0362514015150525,0,0.0820895617722877,0,0.621452570368094,0,-0.0906701289164506,0,0,0.376640852509371,0,0,0,0,0.087403280250796
XLM,-0.598000964357698,0,-0.109184166458724,0.286378053425398,0,-0.309198414756521,-0.131490176164232,0.235298212976008,0,0.54949443984501,-0.152491827006483,0.300576708212539,0,0.187272454205039,0,0,0,0,0,-0.345077429267305
BV010082.Index,0,0,0.025796192520962,0,0.057772327665226,0,0,0.0190194051998418,0,0,-0.011333385665828,0.0294131589523093,0.00382144894782747,0,0.0159699624810671,0,0,0,0,-0.0677852598999252
CVIX.Index,0,0,-0.0407964687128336,0,0,0,-0.0493580250499853,0.0368391380592243,-0.0337860199457855,0,0,0,0,0,0,0,0,0,0,0
DXY.Curncy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.Index,0,0,0.0037571332539946,0,0,0.00202766767353853,0.0044493497123466,0,0,0,0,0,0,0,0.00448566107430987,0,0,0,0,-0.0285005693321416
VIX.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
