,BTC,XRP,ETH,XLM,BCH,EOS,LTC,BSV,ADA,TRX,XMR,MIOTA,BNB,DASH,XEM,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0.149294392362448,0,0.0443306769572124,0,0.0108571283630277,0,0.287515824672942,0.26067460108598,0,0.026584054317487,0,0,0,0,0,0,0
XRP,0,0,0,0.268010911790664,0.050688733891928,0,0.0253842687278744,-0.0207085192085682,0.120088503173925,0.139288454686778,0,0,0,0,0,0,0,0,0,0
ETH,0,0,0,0.174389349289014,0.0989178472206998,0,0.362205388218665,0,0,0.0420261715500027,0,0,0.139665664078318,0.0621068979897508,0,0,0,0,0,0
XLM,0,0.286171688398022,0,0,0.186278846881614,0.447649191697581,0,-0.0115468088668697,0,0.157661797997826,0,0,0,0,0,0,0,0,0,0
BCH,0,0,3.46944695195361e-18,0.42123967253897,0,0.0827966186329793,0,0.0622246943033039,0.795922867122201,-0.4782244544596,0,0,0,0,0,0,0,0,0,0.0160691341314781
EOS,0,0.053268228836624,0,0.16333006203403,0.0407150543938201,0,0.49955588511111,0.0172989593039716,0,0,0.185836085422898,0,-0.197285505072713,0,0,0,0,0,0,0.0759620112999968
LTC,0,0,0.160692939592525,0,0,0.285948573362875,0,0,0.00752720835458238,0.152876173003044,0.133431572261996,0.0977412090597422,0,0.0245896452740708,0.078758495898958,0,0,0,0,0
BSV,2.77937343721971,-3.81535215880907,0,-2.28514635965496,1.73716409959049,0.672100310984588,0,0,0,0.288169157690776,0,0,0,1.33543801414705,-0.83626619292795,0,0,0,0,-0.363862720513349
ADA,0,0,0,0,0.226985207363633,0,0,-0.0271371615691409,0,0.271366562991338,0.177056961814443,0.09351495530643,0,0.231479276651416,0,0,0,0,0,0
TRX,0,0,0,0,0,0,0,0,0.43731535113865,0,0.132613536887413,0.0577409264003935,0.304049842537331,0,0,0,0,0,0,0
XMR,0,0,0.280366675109813,0,0,0,0,-0.00780888110913942,0,0.11554997875214,0,0,0,0,0.725193644776785,0,0,0,0,0
MIOTA,0.512285776983926,0,0,0.0437463678950303,0.160493844836009,0,0,0.0135676065274994,-1.73472347597681e-18,0.161817706963878,0,0,0.0759379492986726,0,0.0497479604920531,0,0,0,0,0
BNB,0,0,0.31483822584497,0,0.0489021058577543,-0.166228134651842,0,0.000308978764285515,0,0,0,0.54360058976638,0,0.108559667854016,0,0,0,0,0,0.037894115835394
DASH,0,0,0.228444248156193,0,0,0,0,0.0204507213223065,0,0.425830975936932,0,0,0,0,0.107019316036855,0,0,0,0,0
XEM,0,0,0,0,0.0045098250910303,0,0.147714015417222,0.00670509816393374,0,0,0.503792568973654,0,0,0.0605922751155325,0,0,0,0,0,-0.145693900048459
BV010082.Index,0,0,0,-0.142119594116812,0.0192761581941713,0,0,0.00241918412832914,0,0,0,0,0.112744832719766,0,0.0682168685486217,0,0,0,0,-0.00826957680145146
CVIX.Index,0,0,0,0.0197021612989069,0.0446411472300812,0,0,0,0,0,-0.00214033745062722,0,0,0.0934075992361149,-0.238336748908422,0,0,0,0,0.0473796926113253
DXY.Curncy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.Index,0,0,0,0,0.00753312010056217,0,0,0.00086684501284736,0,0.0154462236138183,0,0,0,0,0,0,0,0,0,-0.112413208608255
VIX.Index,0.369241751054844,-1.42531958664558,0,0.553604547959266,-0.112659430485473,0,0.127361214428726,-0.05551982100395,0.571018332195268,2.77555756156289e-17,-0.744503156990256,0.0111245618143807,0.071420342789024,0.351642017975134,-0.20312669182978,0,0,0,-4.44471737926679,0
