,BTC,ETH,XRP,BCH,BSV,LTC,EOS,BNB,XTZ,LEO,INNBCL,TAGZ5,XLM,HT,ADA,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0.351751724979647,0.134147255422978,0,0,0.166365219780855,0.147400125936067,0,0.00186741209665652,-0.0196507575930724,0,0,0,0,0.0068955179138824,0,0,-0.0156750880816141
ETH,0,0,0,0.201545925524861,0.178830628670329,0,0.201196698402123,0,0.303939104296868,0,0.00169598677546953,0.0461811350563142,0,0,0,0,0,0,0,0
XRP,0,0.333297027042913,0,0,1.73472347597681e-18,0,0.313153408887294,8.67361737988404e-19,0.00642711399938546,0,-0.00414213160176825,0.0270988578392662,0.121254986440946,0,0,0,0,0,0,0.0199447821143019
BCH,0,2.77555756156289e-17,0,0,0.402058765503439,0,0.534857269693627,0.0978352879929421,0,0,0.0038853855157832,0.0332211480632302,0,0,0,0,0,0,0,0
BSV,0,0.292690189714493,0,0.704379878703861,0,0,0,0,0,0,-0.0127656725238832,0,0,0,0,0,0,0,0,0
LTC,0,0.173338259996299,0,0.0545402901285566,0,0,0,0,0.117109635511746,0,-0.000648110509698153,0,0,0,0.496412741780948,0,0,0,0,0
EOS,0,0.1692289110004,0,0.258721483914357,0,0.2130378937356,0,0.203984462396308,0.0301743397876421,0,-0.00401480318451023,0,0,0,0,0,0,0,0,0
BNB,0,0.0793344240392723,0,0.212404996849047,0,0,0.386849034919117,0,0.275945700619937,0,-0.00547955687559411,-0.0420631016191477,0,0,0.0561925916185722,0,-0.0182983341803922,0,0,0
XTZ,0,0.33892098199892,0,0,0,0,0,0,0,0,0,0.112643476664125,0,0,0.683828078901164,0,0,0,0,0
LEO,0,0,0,0,0.0453309487676709,0,0,0,0,0,0.000257290293208421,-0.101458100269678,0,0,0,0,0,0,0,0.0173987290363428
INNBCL,0,0,0,0,0,0,0,0,0,0,0,0,0,1.79698727047774,0,0,-0.0593930352937183,0,0,3.96933471598456
TAGZ5,0,0,0,0.465722697048577,0,0,0,0,0,0,0.00818989289628708,0,0,0,0,0,0,0,0,0
XLM,0,0.194976119989487,0,0,0,1.38777878078145e-17,0,0.159338172440937,0,0,0,0.08339794155572,0,0,0.385107313236628,0,0,0,0,0.0114523359555023
HT,0,0,0,0.192469656311445,0.156963590778729,0,0,0,0.258632645810687,0,0.00266519421843103,0.0208056647924326,0,0,0,0,0,0,0,0
ADA,0,0,0,3.46944695195361e-18,0.101329083136747,0.486416003750482,0,0.209082952648884,0.183903692477499,0,0,0,0,0,0,0,0,0,0,0
BV010082.Index,0,0,0,0,0,0,0,0,-0.166953937794821,0,0,0.171322641997406,0,0,0,0,-0.0626309752412585,0,0,-0.124372668867158
CVIX.Index,0,0,0,0,0,0,0,0,0,0,-0.0102834439312847,0,0,0,0,0,0,0,0,0.433999798652158
DXY.Curncy,0,0,0,-0.0455208249694919,0,0,0,0,0.0300781439787283,0.0366545951422351,0.00186453261443021,0.0265789815970346,0,0,0,0.041346209666928,0,0,0,-0.0321907082299666
SPX.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00303506123228968,0,0,-0.29377275465508
VIX.Index,0,0,0,0,-0.0552591283386099,0,0,0,0,0,0.0300473128323374,0.0628484301522642,0,0,0,0,0.042593524532897,0,-2.38775906503509,0
