,BTC,ETH,XRP,BCH,LTC,DASH,XEM,XMR,NEO,MIOTA,ETC,ADA,ZEC,XLM,EOS,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0.155040923569691,0,0,0.457001045669263,-0.239076794372128,0,0,0.0644956138166408,-0.0517243467190002,0,0.109826284816832,0.0716300691972322,-0.0138833886794667,0,0,0,0,0,-0.0731620910423858
ETH,0,0,0.093600108382953,0,0.135319563332383,0,0.0641941240649246,0.0768592402977836,0.0928247802533684,0,0,0,0,0.0150830074078586,0,0,0,0,0,0
XRP,0,0.28343469005884,0,-0.102405258022786,0,0,0,0,0,0,0,0,0.11342834489355,0.08976688972119,0,0,0,0,0,0.206506523085613
BCH,0,0,-0.114224997643283,0,0.0713429322167634,0.3012444323079,0,0,0.0481094572042763,0,0,0,0.197719812410456,0,-0.0760218972916183,0,0,0,0,0
LTC,0.158788555554346,0,0.237038817431963,0,0,0,0,0,0.239740243840652,0,0,-0.0596104495725336,0,-1.0842021724855e-19,0.0349556269405858,0,0,0,0,0
DASH,0,0.288222899135345,0.0991450301920281,0.220882719227172,0,0,0.0835153412352575,0.0874951134843953,0,0.0480895912683036,0,0.0603973087631575,0,0.0478794736349657,0.0118367616654584,0,0,0,0,0
XEM,0,0,0,0,0,0,0,0,0.222808670750374,0.158940591492818,0,0,0,0,0,0,0,0,0,0
XMR,0,0,0,0,0.125258999008589,0,0,0,0,0.121299137943881,0.087436983865115,0,0.241645824693621,0,0,0,0,0,0,0
NEO,0,0,0.175738038722111,0.384463020839314,0.121398820822861,0,1.01408317448296,0,0,0,0,0.0358276539783388,0,0.296850531495798,0,0,0,0,0,0
MIOTA,0,0,0,0,0,0.230917575707054,0.155871612549206,0.46344373777166,0.112967458715799,0,0,0,0,0,0.0171497791925726,0,0,0,0,0
ETC,0,0,0,0,0.217250650975402,0,0,0,0.00117149481574346,0,0,0,0.221085135372236,0,0,0,0,0,0,0
ADA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZEC,0,0,0,0.1908418287984,-0.0957763206573883,0,0.0756735817522652,0.395026679047147,0.221533647823363,-3.46944695195361e-18,0,0,0,0,0.424953076421959,0,0,0,0,0.0270607694615355
XLM,0,0,0,0,0,0,0.423732875035451,0,0.356082546585497,0,0,-0.142656178680804,0.263309574448109,0,0,0,0,0,0,0.391304177823439
EOS,0,0,0,0,0,0,0,0,0.129968605054096,0,0,0,0.20110984689977,0,0,0,0,0,0,0
BV010082.Index,0,0.0199023842319569,-0.0333635848232453,-0.00353456961281007,0,0,-0.0347855089517453,0,0,0,0.0474033515302744,0,-0.0362170906291636,0.0254080397545805,0.0469090811432154,0,-0.024881058579917,0,0,0
CVIX.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.Curncy,0,0,-0.00215746485003585,0,-0.0116252685899556,0,0,0,0,0,0,-0.0081615661403255,0.0143479170669124,0,0.00639857527679566,0,0,0,0,0
SPX.Index,0,0,-0.0065867509365604,0,0,0,-0.00406744304076596,0,-0.00140191214160328,0,0,-0.00587947713520606,-0.00580913667612568,0.00807285322656995,0.00845940292834546,0,0,0,0,-0.0393300335725981
VIX.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
