,BTC,ETH,XRP,LTC,DASH,ETC,XMR,XEM,ZEC,DOGE,XLM,DGB,NEO,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,-0.117970466634256,-0.00740648288663636,0.0147417707975613,-0.172413294063285,0,0.0270180013030027,0,0.00664076290627745,0.100892670125466,-0.111892407681253,0,-0.210362466924005,0,0,0,0,0
ETH,0,0,-0.0514477946893597,0.061308689391501,0.253769119370051,0,0.264856007872342,0,0,0,0.154590340751534,-1.73472347597681e-18,0,0,0,0,0,0.107165102887959
XRP,0,0,0,-0.451506053698861,0,0,0,-0.637088354822335,0,0.158093230489108,1.44835931761571,-0.113523927222175,0,0,0,0,0,0
LTC,0,0,-0.128622245072754,0,0.365594089268327,0,0,-0.0583516646911916,0,0.378874665239944,0.360101776028289,0,0,0,0,0,0,0
DASH,-1.89011183003362,0.100618084007459,0.00202974359978912,0.262220127338422,0,0.166281587456867,0,0.159310612846192,0.168748932854162,0,-0.326205538710583,0.00104397744353771,-0.714489053690932,0,0,0,0,0
ETC,0,0,0,0.0441801025973717,0.18835901096233,0,0,0,0,0,0,-0.0319068516182633,0,0,0,0,0,-0.102576236340132
XMR,0,0.372245938598555,-0.00991836841884083,-0.0150970370992984,0,0,0,0.125206439089247,0,0,-0.0516892092469745,0,0,0,0,0,0,0
XEM,0,0,-0.129444224205336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZEC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DOGE,0,0,0.165700875252115,0.0878599524792323,0,0,0,0,0,0,0.337161890151772,0.12314330272782,0,0,0,0,0,0.239958985750775
XLM,0,0.540272122691767,0.416208475301169,0.273240387359927,-0.172538530143624,0,-0.134205502032286,0.455400217607685,0,0.122749685632713,0,0.0368803351958659,0,0,0,0,0,0
DGB,0,-0.519013547606685,-0.394392175064288,-0.40682164561274,0,-3.46944695195361e-18,0.550387703023606,0.26865748332382,-0.488188425274124,1.14896446404518,0.042062048133117,0,0.285020698917265,3.58731045228405,0,0,0,-0.679305839873533
NEO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BV010082.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0353095310619452
CVIX.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.Curncy,0,0.0107700926579324,0.00402242982860135,-1.0842021724855e-19,0.00398303122803768,-0.0341927209874113,0.0127146675176577,-0.00329622051517307,0,0,-0.00952470978307723,-0.00133661272138869,-0.0103559226599862,0.0815951934207008,0,0,0,0
SPX.Index,0.00896686350349959,0,0.00255550558640417,0,0,0,0,0,0,-0.00599551121100501,0,0.00446190459153368,0,0,0,0,0,-0.0267027603001706
VIX.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
