,BTC,XRP,LTC,XLM,DOGE,DASH,XMR,DGB,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0.0644294593835515,0,0.256544997459433,0.338618379781031,0.253779692924948,0,0,0,0,0,-0.057402010070375
XRP,0,0,0.028209263562672,0.300897255641583,0.457000904827815,0.0496783295934368,0,0.0435495045966817,0,0,0,0,0
LTC,0.483915000758612,0,0,-0.312851136219273,0,0.0190418308610506,0.385210932494669,0.0403794319105039,0,0,0,0,-0.00810290563162865
XLM,0.567614240624924,0.197752576179966,-0.112761769362635,0,1.54789315074042,-0.364933790231417,-0.887983906238676,0.0762822513608432,4.34475044928089,-0.112358065423359,0,-9.21154409167744,-0.836680239588724
DOGE,0,0,0,0.155167253986524,0,0.166577425775333,0.415435176441401,0.00827700140087241,0,0,0,0,0
DASH,0.744563929255379,0.386051878045042,0.102623825303963,0.104549970107557,0,0,0,0.0112255758044642,0,-0.0582338815065088,0,0,0
XMR,0.649607615018858,0.548712719407403,0.0433273463184594,-0.54361876676827,0.398962002339792,0,0,-0.00429648949907308,0,0.00855016744209157,0,0,0
DGB,0.367677953147511,0,0.478419046744058,0,0,0,0,0,0,0,0,0,0
BV010082.Index,0,0,0.0175381046591545,0.0425044010910283,-0.175927679735472,0.0614845393090718,0.0272946858943981,-0.00637893380282295,0,-0.0299817018425194,0,0.642083197290247,0.00228805217602823
CVIX.Index,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.Curncy,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.Index,0,0,-0.000619709308410429,0,0,-0.00393438217875457,0,-0.00165614003872324,0,0,0,0,-0.0864817772134499
VIX.Index,0,-0.228678999274835,-0.0294243762362703,-0.118475330992965,0,0.0296631444151908,-0.115866221981291,0.0499507319764072,0,-0.0786359434922871,0,-7.17317530921186,0
