,BTC,ETH,BCH,XRP,DASH,LTC,BTG,MIOTA,ADA,XMR,ETC,NEO,XEM,EOS,XLM,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,-0.107601906686703,0,-0.1081920673148,0.203577548227096,0.0153397785123686,0,-0.0796638450512353,0,0,0,0,0,0.18229772258749,0,0,0,0,0
ETH,0,0,0.114543892758338,0,0.175533853239014,0.340760748565075,-0.0324532411038245,-0.058811314061966,-0.237968816278538,0,0.683225926181005,-0.150200278878623,0,-0.0496523805576837,-0.0515454418567734,0,0,0,0,0.0620492600727316
BCH,0,0.445439762778483,0,0,0.0414628411282992,-0.726400445078992,0.160039916017967,-0.0680174761380208,0,0.402034214995249,0,0.509954176957533,0,-0.0441917562738086,0,0,0,0,0,-0.255502765849125
XRP,0,0,0,0,-0.0757250983492631,0.189245772578583,-0.0313111351776458,0.0835128491280467,0.0943695346167163,0.188444126600704,0.0656109689459357,0.0560892313442079,0,-0.0458674762226323,0,0,0,0,0,0
DASH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LTC,0,0.3418907260678,-0.0694701387624607,0,0,0,0,0.0834669584100267,-0.0452064549771508,0,0,0,0.44818294678909,-0.0576197227951158,0.11721770133799,0,0,0,0,0
BTG,0,0,0.376564457667136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIOTA,0,0,0,0,0,0,0,0,0.414433721743326,0,0,0,0,0,0,0,0,0,0,0
ADA,0,0,0,0,0,0,-0.0637526127934958,0.456125007577261,0,0,0.290201899541258,0,0,-0.133137052022751,0.564152332826552,0,0,0,0,0
XMR,0,0,0,0.339392661778457,0.25031100329536,0,0.0286794339371022,0,0,0,0,0.115537319150662,0,-0.206384174502465,0.338807284296675,0,0,0,0,-0.249428814367331
ETC,0,0.719347723786245,0,0,-0.164782903381003,0,0.0587929135913227,0.0401293523621122,0.289691337915658,0,0,0.199880535279653,0,0.0436808828833597,0.209797226202825,0,0,0,0,0
NEO,0.290928983637294,0,0.232926662939051,0,0,0.70507255760856,-0.0690039453392811,-0.0417236539230985,0,0,0,0,0,0.133283690847306,1.38777878078145e-17,0,0,0,0,-0.214233462303018
XEM,0,0,0,0,0.0301903176185358,0.329129417774361,0.0203570917330876,0.029712847210168,0.0342766147528732,0.105815290770176,0.137835103880739,0,0,0.0291163331683327,0,0,0,0,0,0
EOS,-0.867176911009848,0,-0.156656775555242,-3.46944695195361e-18,0.29540535401009,-0.492703079311831,-0.0166403352452929,0.0482412533945784,-0.458187625400177,-1.4035657146804,0,0.414117082547546,1.15210860595904,0,1.50137119020903,0,0,0,0,3.46944695195361e-18
XLM,0.19990664081388,0,0,0,0,0.0947190667493603,-0.00170045151070255,0.0755874496265887,0.249216889108975,0.10402146733648,0.264580818435791,0,0,0.40006036508071,0,0,0,0,0,0
BV010082.Index,0,-0.0130720634156245,-0.01708896595294,0,0.0245111451412455,0,0,0.0200142612912227,-0.0138858109980188,0,0,0.0588551892594678,0,0,0,0,0,0,0,0
CVIX.Index,0,0,-0.0257825547194343,0,0.00638943229318419,0,0,0,-0.0114127238922314,0,0,0,0,0.020149469137305,0.0115647318859381,0,0,0,0,0.0987361763137408
DXY.Curncy,0,0,-0.00960358691030184,0,-0.000756803963523487,-0.0303853169507907,0.000371486027724358,0,0,0,0.00542961480151631,0,0,0,0,0,0,0,0,0
SPX.Index,0,0,0,0,0.00337232184213057,0,0,0,0,0,0,0.0101314336786641,0,0,0.00170380867747933,0,0,0,0,-0.0214924809469739
VIX.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
