,BTC,XRP,ETH,BCH,EOS,XLM,LTC,BSV,TRX,ADA,MIOTA,BNB,XMR,DASH,XEM,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0.112310805085685,0,0.00225417086684751,0.122968887668633,0,0,0,0,0,0,0.118411001961047,0.119949715805123,0.187176246983068,0,0,0,0,0,0
XRP,0,0,0,0,0.0992299316703224,0,0.0533327750120247,-0.192867993681158,0,0,0.0208397203004282,0.00170038398492297,0.525130033877094,0,0.377978851192281,0,0,0,0,0.084403541858609
ETH,0,0.547351187507184,0,0,0,0,0,0,0,0.158112139248645,0,0.0108087430537845,0.0903728041154534,0.221105663019605,0,0,0,0,0,0.0480236544669158
BCH,0,0,0,0,0.0921132361106292,0,0,0.993930690303551,0.20847830905619,0,0,0,0,0,0,0,0,0,0,0
EOS,0,0,0.183191539007607,0,0,0,0.4071175116492,-0.0683355918923887,-0.164359631034232,0.777362553979637,0,0.168920133547157,0,0.0359284416060442,-0.409907862982011,0,0,0,0,0.0235134805791158
XLM,0,0,0.261268998175703,0.0403529332593125,0.0582166109092299,0,0,0,0,0,0,0.0709358938948276,0.293885850317329,0,0,0,0,0,0,0
LTC,0,0,0.187952619186625,0,0.345136516146855,0,0,0,0,0,0,0,0,0.11996248836846,0.0796645476867163,0,0,0,0,0
BSV,0,0,0,0.483612512735133,0,0,0,0,0.115471087050067,0,0,0,0,0.174825284066815,0.0769351719996808,0,0,0,0,-0.100000566822341
TRX,0,3.46944695195361e-18,0,0.236649400141575,-0.109094520582066,0,0,-0.25782881634562,0,1.17065402693666,-0.0337657372396277,3.46944695195361e-18,-0.514326690315689,0,0.247830960745146,0,0,0,0,0.0349281868787642
ADA,0,0,0.263087470948462,0,0.191096108853673,0,0,0.0709839911239127,0.163953298292553,0,0,0,0.14502450376907,0,0.112199567756864,0,0,0,0,-0.0224761362200988
MIOTA,0,0,0,0.138101957233726,0.172397242202237,0,0,0,0,0,0,0.131089687484817,0,0.425695445121218,0,0,0,0,0,0
BNB,0,0.0663354671027024,0.234068973094505,0,0.244551810731754,0,0,0.123410237004787,0,0,0,0,0,0,0,0,0,0,0,0
XMR,0,0.20781851659852,0,0.126066672390929,0.0652037150729556,0,0,0.0333166886121296,0,0.261082941080606,0,0.0317447978892007,0,0.231775010923022,0,0,0,0,0,-0.0790070643196112
DASH,1.13953182458859,0,0.307058606840376,0.1025995437913,0.0526777621689225,0,0,0.0822605940919956,-0.350613944541395,0,0.0981428569583216,-0.258242939447212,0.0820498005841245,0,0,0,0,0,0,0
XEM,0,0.529777541391234,0,0,-0.0185178027308925,0,0,0.189177227051031,0.198233551387703,0,0.0316657747420799,0,0,0,0,0,0,0,0,0
BV010082.Index,0,0,0,-0.00202659271229289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.127983218621687
CVIX.Index,0,0,0,0.0259186796069025,-0.0222823314592741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.Curncy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0230624732631034
SPX.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.152187193684817
VIX.Index,0,0.284766607885385,0,0.218972865549251,0,0,0,-0.0702154974606404,0,0,0,0,0,-0.459097079284697,0,-0.0167575850130444,0,0,-3.09603919367024,0
