,BTC,ETH,BCH,XRP,LTC,DASH,NEO,XEM,XMR,ETC,MIOTA,ZEC,ADA,XLM,EOS,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0,0,0,0,0,0,0,-0.241565769509744,0,0.160388015934348,0.0261701632808108,0.226835777078411,0,0,0,0,0
ETH,0,0,0,0,0,0,0.0582714413468475,0.0804616771725779,0,0.00226104933832972,0.0849096710019485,0.0970581594470341,0.12173518595019,0.0284567060805552,0.0471863667359421,0,0,0,0,0
BCH,0,0,0,0.643204330641913,0,0,0,0,0,0.0892727591459853,0.130668341873607,0,-0.329545800640423,-0.134083179092395,0.343193826826894,0,0,0,0,-0.239074076492497
XRP,0,0,0.0818342399340297,0,0.0909515707863662,0,0,0,0,0.0124340008905011,0,0,0.0971775321197585,0.158886025693323,0,0,0,0,0,0
LTC,0.268773573351781,0,0.0109060743134588,0,0,0.0788068792683731,-0.281758393351833,0.278747617271136,0,0.035697410687656,0.224867108286063,0.109172154546044,0.102425590718076,-0.0356175979651968,0.034309390872088,0,0,0,0,0
DASH,0,0,-0.0690364976411101,0,0.230587267713393,0,0.0885424648623058,0.0572524954236333,0.0287488914405917,0.0767015111541346,0.120073660866826,0.0891869785060752,0,0,0.0839680195557214,0,0,0,0,-0.092170677149362
NEO,0,0,0.155160838281517,0,-0.19631633971354,0,0,0,0,0.270734198880999,0.262792605311438,0.224612911188473,0.143527145659368,0.0528077141395962,0,0,0,0,0,0.225041850064557
XEM,-0.480257917127833,0,-0.334564907032323,0.675100321564142,0,-0.462921410779583,0,0,-0.294485080743825,0.292517778444642,0.231191933418124,-0.0500521776733368,0.0671216782175552,-0.115079753385961,0,0,0,0,0,-0.209126835506964
XMR,0,0,0,0,0,0,0.0700254214474889,0,0,0.14734619259218,0,0,0.202244407230446,0.0166693395167201,0,0,0,0,0,-0.0209204569344097
ETC,0,0,0.173082402109976,0,0,0,0,0.264205781192493,0.453762662662749,0,0,0,0.0710434988181509,0.01130418184874,0,0,0,0,0,0
MIOTA,-0.407672716994025,0,0,0,0.00957745530259265,0.215429976694332,0,1.38777878078145e-17,0.102949191092721,0.227092119443519,0,0.406452856603099,0,0.0753279199127354,0,0,0,0,0,0.232941590767224
ZEC,0,0,-0.0100140968492135,0,0.502008978118705,0.0150951934890614,0.351912913646259,0,0.0565138777863151,0,0,0,0,0,0,0,0,0,0,0
ADA,0,0.771605841428323,-0.153606383348754,0,0.478063286660308,0,0,0,0.312488397734842,0,0,-4.33680868994202e-19,0,-0.11679781212365,0,0,0,0,0,0
XLM,0,0,0,0.166802300429817,0,0,0,0,0,0,0.675917902300378,0,-0.264407345750469,0,-0.26293138071185,0,0,0,0,0
EOS,0.425395003871391,1.90812132901352,0.873374339047089,0,0,0,0,-0.78147640622441,-0.323377367327111,0,0,-0.160759478057661,-0.393387406363029,-0.120037081876543,0,0,-0.340683005811444,0,0,0.797017827557562
BV010082.Index,0,0,0,0,0.0584490171661204,0,-0.0308942155699163,0,-0.0129790007051593,0,0,0.0378948204415204,-0.0529721143508547,0.012355384333281,0,0,0,0,0,0
CVIX.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.Curncy,0,0,0.0245205342566445,0,0,0,0,0.0242356627655846,0,-0.0177722197569822,0.000874044334107206,0,0,0.00955875969911117,-0.00925875371398186,0,0,0,0,-0.00511469830615497
SPX.Index,0,0,0.00766916494076113,0,0.0172063129129063,0,-0.0043005400892586,0,-0.00376475071982058,-0.00475982864748816,0,0,-3.27089925943373e-05,0,-0.00561959437101,0,0,0,0,-0.0375089661554555
VIX.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
