,BTC,ETH,XRP,BCH,LTC,EOS,ADA,XLM,MIOTA,NEO,XMR,XEM,DASH,TRX,ETC,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0.208513619007155,0,-0.00629962934983669,0,0.191796014379252,0,0,0.093942766157822,0.138914936597649,0,0.0183585267567939,0,0,0,0,0,0.0287667783796535
ETH,0.278200081488573,0,0.123982041548906,0.439055976534307,0.0476118966441063,-0.0600879275987409,0,0,0,0.195301719928475,0,0,0,0,0,0,0,0,0,-0.0624121552538002
XRP,0,0.150445285707409,0,0.158785524056976,0.0354668648310079,0.149352334898567,0.0527797494563437,0.0631482664580482,0.0700231844210643,0.0941552712371377,0,0.225804851469848,0,-0.0516231454529519,0,0,0,0,0,0
BCH,0,0.257735530226256,0.118961056317959,0,0,0,3.46944695195361e-18,0,0,0,0,0.115825075857008,0.291300734680972,0.0161939209251878,0,0,0,0,0,0.0244340613692911
LTC,0,0,0,0.419923657009498,0,0.0224430603430512,0,0.129566140770972,0.0855576067521111,0.0988583934960644,0,0,0,0.0615968553669152,0,0,0,0,0,0
EOS,0,0,0,0,0,0,0,0,0,0,0,0,0,0.376409633076472,0,0,0,0,0,0
ADA,0,-1.38777878078145e-17,0.359595887034048,0,0,0,0,0.248297685455933,0.257309941265926,0,0,0,0,-0.0761563114882821,0,0,0,0,0,0.134275252234985
XLM,0.342359823979683,0,0.428376391047844,0,0,0,0,0,0,0,0.00499896224859237,0.146043484403255,0,0,0,0,0,0,0,0
MIOTA,0,0.481142733536022,0,0,-0.253063102239254,0.0698775473864205,0.158551288639708,0,0,0.105832180966657,0,0.416173088825556,0,0.0445651796687142,0,0,0,0,0,0
NEO,0,0,0.221185350537828,0,0,0.148654021228672,0.0311310864568828,0.0589822669381839,0.258142165452086,0,0,0.213360228707955,0,0,0,0,0,0,0,0.0747126434970066
XMR,0.485610300968349,0,0,0,0.234417327639758,0.00112154702081456,0,0.0913750141670602,0,0,0,0,0,0.094907110399824,0.065033408540707,0,0,0,0,0.0486939074679717
XEM,0,0,0,0.196480090108508,0,-0.0614190242755898,0,0.327806116599254,0.521079764068139,0.101196747524199,0,0,0,0.0482666320242201,0,0,0,0,0,0
DASH,0,0,0.155960226184792,0,0.0985127866988242,0,0,0.0935243591878186,0.164792660677442,0,0,0.00246560270622265,0,0.0803821479725117,0.268596479226272,0,0,0,0,0.1679111213603
TRX,0,0,0,0,0,0,0,0,0,-0.0144626551332124,0.401079183733085,0.399885588368217,0.097784899075836,0,0,0,0,0,0,0
ETC,0,0,0,0,0.0326576583397736,0.0550334477667642,0,0.0820832804694944,0.0660398895625992,0.264707004709566,0.0305836311783379,0.125248751969684,0.168864444691816,0,0,0,0,0,0,0
BV010082.Index,0,0,0,0,0,0.0315946827140702,0,-0.00280804611647762,0,-0.0242472151661792,-0.118638376693401,0,0.148238250391532,-0.0328896780889054,0,0,0,0,0,-0.062336981271112
CVIX.Index,0,-0.0694994403798047,0.0108047413039312,0,-0.0793563866689028,-0.0252837739618166,0.0199879548402385,0,0,0,0,0,0.146419793610266,-0.0399722457753782,0,0,0,0,0,0.0120737854307087
DXY.Curncy,0,0,0.0225602174382065,-0.031933465679512,0,-0.00944295889122153,0,-0.0213208973891312,0.00541129899745283,-0.00317195895541989,0,0.0157802753643478,2.16840434497101e-19,0.000724746148483181,0,0,0,0,0,0
SPX.Index,0,0,0,0,0,0.0348339825532452,0,0,-0.0287467366636713,0,0,0,0,0,0,0,0,0,0,-0.106276348633764
VIX.Index,0,-1.38777878078145e-17,0,-0.290392603523198,0,0.049158134695626,0.261454493778572,0,-0.711731079952029,0.294341383247535,0,0,0.515209613712703,0.0346864571734513,0,0,0,0,-4.38359503973549,0
