,BTC,ETH,BCH,XRP,BTG,LTC,DASH,MIOTA,ETC,XMR,ADA,NEO,XEM,XLM,EOS,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,-0.146732988471997,0,0.0189287473457781,0,-0.172138061658854,0.0911016615849585,-0.118896276635703,0,-0.0928976878065225,0.0215718426586335,0,0.239989935995544,1.38777878078145e-17,0,0,0,0,-1.73472347597681e-18
ETH,0,0,0,0,-0.00988485788302423,0,0.0147101340471043,-0.00494712535851258,0.0840044708039911,0.0168575795748459,-0.107715807871304,-0.106397032787546,0.455016383506388,0,0.17691792228521,0,-0.781557745525807,0,0,0
BCH,-0.971004375340085,0,0,0,0.266966767109662,-0.190273914568562,0,2.77555756156289e-17,0.0224093803684675,0,0.0523392428944724,0.445872344985114,-0.81764091221802,0,0,0,0,0,0,0
XRP,0,0,0,0,0,0,-0.011540924337996,0,0.0382082803237665,0,0.13264713275455,0,0,0.103318154659928,0,0,0,0,0,0
BTG,0,0.345182391167861,0.32885602070077,0,0,0,-0.434843294090341,0,1.37800875908717,0,-0.571571734205731,-0.296656882362092,0,0,0,0,0,0,0,0
LTC,0,3.46944695195361e-18,-0.198477813464129,0,0.0231331518007701,0,0,-0.0102363444270431,0.182470282284992,0,-0.0515390656537483,-1.73472347597681e-18,0.234724705956483,0,0,0,0,0,0,0
DASH,-0.104774087874977,0,0.119387036382798,0,-0.0726962525588269,0,0,0,-0.20617152396763,0.850238248180748,-0.133901469911738,-0.232652929963847,0,0,0,0,0,0,0,0
MIOTA,0,0,0,0,0.101768813834259,0,0.132492642698284,0,0.0541139052927534,0.308334228245568,0.378417288766377,0,0,-0.0411910177271492,0.197057615273365,0,0,0,0,0.462831142172638
ETC,0,0.457736982712647,0.260774714492435,0,0.0836808683837605,0.705043024349199,-0.341808758993723,0.0146664459782631,0,0.219902886422132,0.423580986790564,-0.0521439364893415,-1.08210642594087,0,0.335216735368709,0,0,0,0,0
XMR,0,0,0,0,0.0470047606836278,0,0.201851362548529,0,0,0,0.195246954495374,0.164274300069422,0,0,0,0,0,0,0,0
ADA,0,0,0.0103241075139164,0,-0.0370655821897475,0,0,0.293053845277563,0,0,0,-0.00392956494307058,0,1.10199123862088,-0.356625125198094,0,0,0,0,0
NEO,0.051130832213941,0,0,0,0,0,0,0,0,0.0962808528609588,0,0,0.320129426630942,0,0.217889724625983,0,0,0,0,-0.0902862857531594
XEM,0,0.269669027067289,-0.0245118870180145,0,-3.46944695195361e-18,0.391361583191236,-0.0194628665298529,0.0415259644330809,-0.0682761366977256,0,0.122264711796694,0.102862089050566,0,0.00678322551179247,0,0,0,0,0,0
XLM,0,0,-0.104739605854686,0,0,0,-0.0893905003144036,0,0,0,0.376683567205593,-0.0743054251058611,0,0,0.485835378486354,0,0,0,0,-0.304792010693617
EOS,0,0.265460374794533,0.157157487055256,0,-0.124545712850191,0,0.187699000953134,0.145764628646284,0.274344554344773,0,-0.698848642578657,0.165086115889418,0,1.3800471309371,0,0,0,0,0,0.308578917874641
BV010082.Index,0,-0.047722272049704,-0.0137083968510004,0,0,0,0,0.0147431649122975,0.0240463541569668,0.0226309379264116,-0.029622894975571,0.0463797306509283,0,0.0085120797311392,0,0,0,0,0,0
CVIX.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.Curncy,-0.00217989276544743,0.0030322155830903,-0.0172584131066528,0,0.00122761099642096,-0.0475382641608891,-0.00258215264057218,0,0.00674357888449006,0.0138131822910049,-0.00152129728471878,0.00518631292369657,0,-0.000926289820489729,0,0,0,0,0,0
SPX.Index,0,0,0.00130650637043688,0,0.000390134296621075,0,0.00118729957362574,0,0,0.00621178491329943,0,0.00819679287185901,0,0,0.000745224965096812,0,0,0,0,-0.0338108037543727
VIX.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
