,BTC,ETH,XRP,BCH,ADA,NEO,LTC,XLM,EOS,XEM,MIOTA,DASH,XMR,TRX,ETC,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0.00687937067566595,0,0.225396553977994,0.0495410279872902,0.03225137656782,0.153853071065531,0,0,0.0847080640942435,0,0,0.123171840396628,0,0,0,0,0,0,-0.0783823385085539
ETH,0,0,0,0,0.184925496473636,0,0.382222247127019,0,0.00764612547888316,0,-0.0263888612154331,0,0,-0.125369352755736,0.364447306333949,0,0,0,0,0
XRP,0,0,0,0,0,0,0,0.237105944883474,-0.0539594374070216,0.0526248991043138,0,0,0,0.301079280505294,0.217328588575873,0,0,0,0,0
BCH,0.263852622417066,0,0,0,0,0,0,0,0.0936590322679289,0,0.123073495783125,0,0,0,0.410633109061101,0,0,0,0,0
ADA,0,0.282504320525917,0,0,0,0.0319859050801866,0,0.446522210642775,0.0953216480161134,0.0375939571605658,0,0,0,0,0,0,0,0,0,0
NEO,0,0,0,0,0.329137645342643,0,0,0,0,0,0,0,0,0,0.513643476071292,0,0,0,0,0
LTC,0,0.391493926343542,0.0436798737226597,0.179540644115654,0,0,0,0,0.0186312232937441,0.0364587021304327,0,0.189137065817867,0,-1.00043294530609e-05,0,0,0,0,0,0
XLM,0,0,0.0334267031844348,0,0.691458964794131,0,0,0,0,0,0,0,0,0.201192991793439,0.0478849857158105,0,0,0,0,0
EOS,0,0,0,0.411483481937636,0.0854711326199129,0,0,0.299285260144715,0,0,0,0,0,0,0,0,0,0,0,0
XEM,0,0,0.2643855257246,0,0.132582970184415,0.0578640175518469,0.35509665474538,0,0.0497816161527516,0,0,0,0.275253230917557,-0.0141132748911226,0,0,0,0,0,-0.127832904595403
MIOTA,0,0,0,0.315971841378291,0,0,0,0,0.0693658096499017,0,0,0,0,0.133867211221067,0.329116797228532,0,0,0,0,0
DASH,0,0.188651268725607,0.0927671559194637,0,0,0,0.146107361909208,0,0.0642721800006048,0,0,0,0.153450375986362,0.155030591343125,0.0617406396380266,0,0,0,0,0
XMR,0,0,-0.115967069227061,0.0431201796785037,0.157587139613802,0,0,0.137635775620742,0,0.00696761308701316,0.18113812005398,0,0,0,0.379538017690321,0,0,0,0,0
TRX,0,0,0.331088661788578,0.296135927217867,0,0,0,0.232050464496642,0.085024437454461,0,0,0,0,0,0,0,0,0,0,0
ETC,0,0.5384514108691,0.172510301442494,0,0,0.17682998395381,0,0,0.00481907414302282,0,0,0,0.211239898646944,0.104172621090877,0,0,0,0,0,0
BV010082.Index,0,0,-0.0222391389649936,-0.0162000696807048,-0.00630121848763634,0,0,-0.0214529059283527,0,0.0642190600545892,0.0127541801477021,0.0754446785291109,-0.0546748220681823,0.013021072985134,0,0,0.0770975981254057,0,0,0.0432869459425417
CVIX.Index,0,0,0,-0.100024158948558,0,0,0,0,0.0436433160454367,0.0778422057278642,0,0,0,-0.0813076088982169,0,0,0,0,0,0
DXY.Curncy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.Index,0,0,-0.0051716853615436,0,0.013355141485108,0,0,0,0,0.00202822292436262,0,0,0,0,0,0,0,0,0,-0.0272559775133029
VIX.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
