,BTC,ETH,XRP,BCH,BSV,LTC,EOS,BNB,XTZ,INNBCL,LINK,ADA,XLM,LEO,TRX,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0.154358423975917,0,0.137328622288014,0,0,0.207132499808015,0,0.0389205758169676,-0.00207851624481784,0,0,0,0,0,0,-0.00270042978326256,0,0,-0.0175000687250289
ETH,0,0,0,0,0.197631460408732,0.280717932840796,3.46944695195361e-18,0.348100591081193,0.0522990815222977,-0.00058545075478503,0,0,0,0,0,0,0,0,0,0.0662412095362
XRP,0,0.214898309469515,0,0,0,0.118620876738864,0,0.0655357976112698,0.00743218824169308,0.00197029995732552,0,0,0,0,0.290430151093597,0,0,0,0,0
BCH,0,0.121957545792467,0,0,0.357389138663244,0.0580813582871964,0.306668100606874,0,0.0077145566400403,0.00249254745388862,0.112666333709678,0,0,0,0,0,0,0,0,0
BSV,0,0,0,0.789106056164928,0,0,0,0,0,0.00116150233980742,0,0,0,0,0,0,0,0,0,-0.023971661851069
LTC,0,0.27140068794123,0,0,0,0,0.310442067785706,0,0,-0.000669910897725447,-0.00106635234225938,0,0.294053384881152,0,0.121155001867189,0.0431301531537648,0.0232468552398308,0,0,-0.0357386310445277
EOS,0,0,0,0.133381624819166,0.0623917753693658,0.65378459212717,0,0.132625364328499,0,0,0,0,0,0,0.056433376030902,0,0,0,0,0
BNB,0,-6.93889390390723e-18,0,0.16896526746376,0.175877516272594,0,0.249926538977766,0,0.0651129016483831,-0.000281342990439449,0,0,0,0,0,-0.117072814862692,0,0,0,-0.000909938910916578
XTZ,0,0.383189587644337,0,0,0,0,0,0.014337852698082,0,-0.00903632821584301,0.166834889479573,0,0.425019744723155,0.368384564005024,0,-0.120553218292368,-0.049320503172237,0,0,0
INNBCL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LINK,0,0,0.599919014708997,0,-0.083588650903111,0,-0.408148699460862,0,0,-0.0172901015881737,0,0,0,1.09227771524201,0.625660279093095,0,0,0,0,0
ADA,0,0,0,0,0,0.0861828438952789,0.290136869732072,0,0.0580537843718764,-0.00474429292526058,0,0,0,0,0.334905778995997,0,-0.0088434527619756,0,0,-0.0320363862823525
XLM,0,0,0,0.283024080302685,0,0.256930226138163,0,0,0.169614627772051,-0.00451516385133695,0,0,0,0,0.109529592698549,-0.00767714386486791,0,0,0,0.00552121767486674
LEO,0,0,0,0,0,-0.117474860205701,0,0,0,0,0.11390924204233,0,0,0,0,0,0,0,0,-0.0128582452222247
TRX,0,0,0,0,0.079905393529845,0.236976259044474,0.201077571724545,0,0,0.00176253363677013,0.248995318227722,0.299011333191691,0,0,0,0,-0.0219751309006141,0,0,0.0815266347528905
BV010082.Index,0,0,0,0,0,0,0,0,0,-0.00463854635946678,-0.0853456767529057,0,0,0,0,0,0,0,0,-0.178970177250341
CVIX.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.Curncy,0,-0.0225215161710549,0,0,0.0421616480872328,0,0,-0.0223694437910861,0,-0.00192396452377015,-0.0319122895645086,0,0,0,0,0,-0.0361965599985086,0,0,-0.00187786264687729
SPX.Index,0,0,0,0,0,0.0671933512858714,0,0,-0.0706874264898418,-0.00230403780760146,-0.0158115219128276,0,0,0,0,0.0327841926757183,0,0,0,-0.12732003641351
VIX.Index,0,0,0,0,-0.000131575016082385,0,0,0,1.61509482658758e-05,0,0,0,0,0,0,0,0,0,-3.30815849987318,0
