,BTC,XRP,LTC,DOGE,XLM,DASH,XMR,DGB,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0.0121144719782545,0.406721777010115,0,0.325674745874454,0.190506253617647,0.065499793090695,0,0,0,0,-0.0590765466352116
XRP,0,0,0,0.228481334912894,0.1162832506466,0.179766200926371,0,0.0393356775786957,0,0,0,0,0
LTC,0,0,0,0,0,0.0656099317875828,0.756126864572227,0.0605999074373979,0,0.208455260352318,0,0,-0.123450205262231
DOGE,0.360504582815847,0,0.0893016371230422,0,0,0.0930780062321412,0.118471135818669,0,0,0,0,0,0
XLM,0,0,0,0,0,0,0,0,0,0,0,0,0
DASH,0.731140695934421,0.112537291848324,0.148718275900205,0,0.155691884832933,0,0,0,0,0,0,0,0.0527929110168857
XMR,0.710793977940691,0.713594961212654,0.0761465007944787,0.289515823253067,-0.572891573490747,-0.0958896176447313,0,-0.0492540653383777,1.52983639632473,0,0.596719372604965,-2.74118287674356,2.77555756156289e-17
DGB,2.17764538512409,0.727191386907872,0.809920026351513,0,0,-2.26583599538237,-0.171915938941372,0,0,-0.284344323236564,0,0,0.0889776824798928
BV010082.Index,0,-0.079639151585614,0,0,0.0160838450487601,-0.00554818746013725,0,0,0,-0.0492254821618998,0,0,-0.0874377937963261
CVIX.Index,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.Curncy,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.Index,0,0,-0.0014098296856726,0,0,0,-0.00586479305161371,-0.000826168905413336,0,0,0,0,-0.106823251609107
VIX.Index,-0.0481181442546724,0,-0.0603768248939955,0,0.0679130588105589,0,0,0,0,0.00636099190370932,0,-5.67395697055271,0
