,BTC,ETH,XRP,BCH,LTC,DASH,XEM,NEO,MIOTA,XMR,ETC,ZEC,ADA,BAT,EOS,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0.0758463193406189,0,0,0,0,0.409896203614409,0.0811444651560559,0.0760610013950613,0,0.0220949509332073,0,0,0,0,0,0,0,0,0
ETH,0,0,0,0,0.184075433612896,0.098649204296008,0.330369886097657,0,0.243651519079326,0,0,-4.33680868994202e-19,0,0,0,0,0,0,0,0
XRP,0,0,0,0,0,0,0.0821293493017385,0.0291701538112481,0,0.240372926339547,0.204727710941965,0,0,0.0233124045091023,0,0,0,0,0,0
BCH,0,0,0,0,0,0,0.429259440011277,0.0766354433694055,0,0,0.304640492489415,0,0,0,0,0,0,0,0,0
LTC,0,0,0,0,0,0.168074484384702,0.0839435923100111,0.1758562734373,0,0,0.604786453964216,0,0,0,0,0,0,0,0,0
DASH,0,0,0,0.107362627227383,0.241489616895393,0,0.0963156935561731,0.040655469486378,0,0,0,0,0,0.121067523276149,0,0,0,0,0,0
XEM,0,0.0255176254685874,0,0,0.405038065211883,0,0,0,0.0711458663975394,0,0.267575199263208,0,0,8.67361737988404e-19,0,0,0,0,0,0
NEO,0,0,0.99812172761369,0.277402367979824,0,-0.390751891606101,0,0,0,0,-0.316174564159196,0.585593414983405,0.516276569461574,0.551018622536638,-0.386421487711291,0,0,0,0,0
MIOTA,0,0.392775681925472,-0.286248399189814,0,0,0,0,0.0929509484179593,0,0,0.139048686372279,0,0,0.202813439543216,0.224058434859021,0,0,0,0,0
XMR,0,0.299830801373968,0,0.0713664986022639,0,0,0,0.0775782016450945,0,0,0.332605915959114,0.155788998830424,-0.203596068514017,0,-0.10028017356208,0,0,0,0,0
ETC,0,0,0,0.112081236556039,0.500012593015455,0,0,0,0.186578097174008,0,0,0.0282952412077969,0,0,0.0313195719210716,0,0,0,0,0
ZEC,0,0.110980031508575,0,0,0.113535389917697,0,0,0.16992672528264,0,0.220495747544409,0,0,-0.0244757032899422,-0.135754197596965,0.426227845896707,0,0,0,0,0
ADA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BAT,0,0,0,0,0,0.761244909013596,-1.38777878078145e-17,0.0671192845952303,0,0,0,0,0,0,0.276980187896302,0,0,0,0,0
EOS,0,0,0,0,0,0,0,3.46944695195361e-18,0.222945837021996,0,0,0.576077597183569,0,0.130133234813378,0,0,0,0,0,0
BV010082.Index,0,-0.0285036790323709,0,0,0,0,0,0,0,0,0,0,0,0.00240862818742119,0.0224504915808026,0,0,0,0,-0.135593996602057
CVIX.Index,0,0,0,0.0666155625472295,0,0.0303276965644407,0.0120528001604571,0,0.084286238719997,-0.0559552019287865,-0.140697709091348,0,0.0373258233598271,0,-0.0606413806092059,0,0,0,0,0.207828433618502
DXY.Curncy,0,0,0,0,0,-0.0150080865708641,-0.00904273832774692,0,-0.00634430323740221,0,0,0.00706047063994942,-0.0195443986257211,-0.00780859790352934,0.0135963166695033,0,0,0,0,0
SPX.Index,0,0,0,0,0,0,-0.0085981417136052,0,0.00826252183427771,0,0.00468292471566687,-0.00494076697930482,-0.0140695312759506,0,0,0,0,0,0,-0.0138012686160884
VIX.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
