,BTC,ETH,BCH,XRP,LTC,DASH,MIOTA,XEM,NEO,XMR,ETC,ZEC,EOS,XLM,BAT,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0,0.0820729211307169,0,0.358434050650718,0,0,0,0,-0.0765144114829909,0,-0.0587765578879031,0,0,0,0,0,0.0251568680274769
ETH,0,0,-0.029456168630213,-0.011451392023734,0.195891947448545,-0.0513501395680787,0.157560064382531,0.134784357092914,-0.0605707099534104,0,0,0,0,0,0.0636647501692131,0,0,0,0,0.00806432627849782
BCH,0,0,0,0,0,0,0,0,-0.191184295995716,0,0,0,0,0,0,0,0,0,0,0
XRP,0,0,0.0652158078283629,0,0.269468215736961,0,0.199647121275418,-0.442656022473522,0.166350938911527,0.136444665446229,0,-0.332748526623787,0,1.17871312481408,-0.102585451493363,0,0,0,0,0.0549328402916466
LTC,0,0,0.0400018255131894,0,0,-0.0441977693644473,0,0,-0.00492375263105295,0,0.655256955847817,0.0867316345530962,0,0,-0.0861627284129516,0,0,0,0,0.032906173068264
DASH,0,-0.455487256911714,0.0286903272275663,0,-0.34806020664131,0,0,0.447171556526298,-0.0907864352170195,0.230106669231937,0,0.927334989999139,-0.196849092892709,-0.565541022134573,0.0776082997002185,0,0.925227156486282,0,0,-0.119574090479087
MIOTA,1.50208771420679,0,0,0,0,0,0,0,0.0632634117690229,0,0,0.258563881501554,0,0,0,0,0,0,0,0.0694358341347993
XEM,0,0,0.0128695485970718,-0.332987885148766,0,0.793381996427632,-0.0698469412771867,0,0.167633161725337,-0.138930904061189,0,-0.551887561913236,0.773748832493497,0.902158192739486,-0.178408989235868,0,0,0,0,0.220432876618946
NEO,0,0,-0.0518412233227585,0,0,0,0,0,0,-0.124627136376101,0,0,0,-0.589479512666457,0,0,0,0,0,-0.239420304424425
XMR,0,0,-0.0203802645288352,0.72478770972566,0,0.200112664745012,0.0144594040505866,0,0,0,0,0.783433079734185,0,0,-0.0488047350470713,0,0,0,0,-0.0286285982486061
ETC,0,0.30278170513967,-0.0276564227880141,0.0114778117683915,0.246889858778667,0,-0.0288758593920561,0.0520728640176409,-0.00890396803906912,0,0,0,0,0.0568682589969307,0.0207664510874394,0,0,0,0,-0.0142081391737442
ZEC,-0.235099411280982,0,-0.0167394024194052,-0.296906579289943,0,0.498202790165158,0,0,-0.0413406789967582,0.213552312018041,0,0,0.408899083059701,0,-0.108609609779684,0,0,0,0,0.040295781949657
EOS,0,0.0548124672233132,0,0,0.0434146748964505,-0.177955998712785,0.243902420697906,0.0794889455880446,0.020770388129983,0,0,0.118750812805813,0,0,0.0168080689997669,0,0,0,0,-0.113436272947946
XLM,-0.318059292688795,0.248802002761732,-0.0122230947681647,0.494160669082589,-0.19322434827745,0,0,0.109584059409703,-0.0619319399518647,0.0418545146914627,0,0.181393942777888,0,0,0.0178938074657878,0,0,0,0,-0.0200451873463444
BAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BV010082.Index,0,0,-0.0188324871809845,0,0.00103761138864825,0,0,0,0,0.0325645815854686,0,0,0.0674392202573133,0,0,0,0,0,0,1.0842021724855e-19
CVIX.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.Curncy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.Index,0,0,0,0,0,-0.00726339000217788,0,-0.00339207591617224,0,-0.00230553882067204,0,0.00193753701409668,0.00952654878742785,0,7.01510897133262e-05,0,0,0,0,-0.0397570999927994
VIX.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
