,BTC,ETH,BCH,XRP,LTC,DASH,XEM,XMR,MIOTA,NEO,ETC,ZEC,BAT,EOS,XLM,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0.0925374561638118,0,0,0,0,0.165690024256701,0,-3.46944695195361e-18,0,0.106255050999352,0.0841120639982433,0.0626277168390069,0,0,0,0,0,0,0
ETH,0,0,0,0,0.174757619228829,0,0.364687997037129,0,0.143052357813312,0.0482350556600309,0,0,0.0568598160465788,0,0,0,0,0,0,0
BCH,0,-0.0661061101307153,0,0,0.104934244133357,0.293349735225742,0.126318405919152,0.108535952431779,0.158713990150972,0.308053033293093,0.25086854709171,0,-0.21117782549486,-0.161352770436999,0,0,0,0,0,0.211818031752334
XRP,0,0,0,0,0,0,0.0983603753137458,0.266187460428083,0,0,0,0.011670500588841,0.020021543176303,0,0.240545842392784,0,0,0,0,0.0772762479252148
LTC,0,0,0.0127840603172103,0,0,0,0.104224099517592,0,0,0.00555166396202224,0.552911538597157,0,0.127784190704487,0,0.242616558681055,0,0,0,0,0
DASH,0,0,0.0145959069241049,0,0,0,0.372396169556397,0,0,0,0.0558307291532451,0.30057592982428,0.045701210966414,-1.73472347597681e-18,0.0225503456240704,0,0,0,0,0
XEM,0.390742615975188,0.322615472515782,0,0,0.0760005936719425,0.158502013396896,0,0.194256445405287,0,-0.0334667078355681,0,0,0,0,0,0,0,0,0,0
XMR,0,0,0,0.0497511525864206,0,0,0.341061236513347,0,0,0.0254646400300585,0,0.300387985598887,0,0.104586388806355,0.0429870585349372,0,0,0,0,0
MIOTA,0,0,0.705298348624696,0,1.38777878078145e-17,0,0,0,0,-0.390078142060858,-0.147823312422279,0,0,0.776230716400062,0,0,0,0,0,0.292792825752977
NEO,0,0,0.97519946230866,0,0,0,0,0,-0.0213096657714214,0,-0.389867394098123,0,0,0.585082821751019,0,0,0,0,0,-0.475059657640044
ETC,0,0,0.0309388794601772,-0.140346038423261,1.13345462767893,0,0,0,0,-0.0552197882675109,0,0,-0.0783065552150987,0,0,0,0,0,0,0
ZEC,0,0,0.0672513918365723,0,0,0,0,0,0,0,0.133942993605524,0,0,0.179337353317759,0.397906999799092,0,0,0,0,0
BAT,0.785692396100668,0,-0.481806509821267,0.254264820088349,0.171006203757788,0,0,0,0,0.228721068313125,0,0.365091688265342,0,0.0642535161698873,0,0,0,0,0,0
EOS,0,0,0,0,0.00989872927830364,0,0,0,0.186684068782345,0.213797650524945,0,0.0732683586639805,0.274444772758666,0,0,0,0,0,0,0
XLM,0,0,0,0.176433849052335,0.332302381907921,0,3.46944695195361e-18,0.025911386565187,0.122840024270994,0,0,0.336585929211665,0,0,0,0,0,0,0,0
BV010082.Index,0,0,0,0,0,0,0,0,0,0.00841567523592436,-0.0149296818745072,0,0,0,0,0,0,0,0,-0.110330836231839
CVIX.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.Curncy,0,0,0,0,0,-0.0109646320893373,0,0,0,0,-0.00585757062167576,0,-0.00119657431032986,0.00333334445012499,0,0,0,0,0,-0.0108197491341168
SPX.Index,0,-0.00112353427021083,0,0,0,0,-0.00769262923751017,-0.00311000807337053,0,0,0.00572689487756193,0.0065599225878837,0.00102230461136157,0,0,0,0,0,0,-0.047879875414937
VIX.Index,0,0.358280562286937,0,1.38777878078145e-17,0,-0.102453404122127,0,0,0.12894211778868,-0.0251505617444563,-0.166350339461839,0.110217091488834,-0.0630702331826508,-0.164060416780306,0,-0.442242901281854,0,0,0,0
