,BTC,ETH,XRP,BCH,EOS,XLM,LTC,ADA,XMR,DASH,MIOTA,TRX,ETC,NEO,XTZ,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0.0138438496645931,0.145116935742466,0.160522769940972,0.0634347375383812,0,0,0,0,0,0,0.0439276060046571,0.0366491617526982,0,0,0,0,-0.0265430591924836
ETH,0,0,0.234100094339852,0.188244393274358,0.228301760071725,0,0,0.170596689778738,0.0902232602715018,0,0.0226609393394678,0,0,0,0.212143071738148,0,0,0,0,0
XRP,0,0.223034574669765,0,0,0,0,0,0.315691859647317,0,0.0557805151873247,0.205021176553516,0,0,0,-0.144835652699945,0.163585062109266,0,0,0,-0.0425190796318223
BCH,0,0.548844385279362,0,0,0,0,0.0453401309193548,0.00811654973365424,0,0.219197632415059,0,0,0,0,-0.139164638440269,0,0,0,0,0.0337804367467996
EOS,0,0.424231800342101,0,0,0,0.147714531451426,0,0,0,0,0.209409737293123,0,0.144074253881215,0,0,0,0,0,0,0
XLM,0,0.127806581092236,0,0,0,0,0,0.149889491935521,0,0,0,0,0,0.241863241498568,0,0,0,0,0,0
LTC,0,0,0,0.225492868583001,0.154801866354964,0,0,0,0.0114699223020831,0.0628957030313894,0,0.117674659670713,0,0.135395664829853,0.128732337723135,0,0,0,0,0
ADA,0,0,0.41054909558186,0.172039318900745,0,0.061903241624125,0,0,0.175309480683168,8.67361737988404e-19,0,0.162672983566954,0,0.0712693136398565,0,0,0,0,0,0.0189447901275216
XMR,0,0.215074137184027,0,0,0.443777414898762,0,0,0,0,0,0,0,0,0.1590836323219,0,0,0,0,0,0
DASH,0,0,0,0,0.0875215899973892,0,0,0,0,0,0.176186943344914,0,0,0.673819781591388,0.0587827195244537,0,0,0,0,0.146662842398824
MIOTA,0,0.133895594469654,0,0,0.20617369098453,0,0,0,0,0,0,0,0,0.271574834117503,0.105489108461466,0,0,0,0,-0.0966622663648977
TRX,0,0.0608913468934205,0,0.183541024189361,0.212242951270542,0.0653660695006098,0,0.341651610013644,0,-2.71050543121376e-20,0,0,-0.141224281888334,0,0.101721476407631,0,0,0,0,0
ETC,0,0,0,0,0.462133377229682,0,0,0.0747872746850074,0,0,0,0,0,0.170407942815829,0.0453860454100479,0,0,0,0,0
NEO,0,0,0,0.0887373367538084,0,0,0,0.159198844812686,0.236941818212239,0.322600534468522,0.235505552042138,0,0,0,-0.0107703077143426,0,0,0,0,-0.162291736761009
XTZ,0,0.286762980693485,-0.123416739161128,-0.603283379570888,-0.499057781907159,-0.290617797837527,2.24978934794541,0,-0.106389651017586,0,-0.118661640129885,0,0.323717351424973,-0.142457347631982,0,0,-0.525151349371228,0,0,0
BV010082.Index,0,0.0307221590257734,0.0527476241405744,0,-0.0484583945197471,-0.046277686126742,-0.038390822888764,0,-0.0304302961204277,0,0,0,0,0,-0.019537957269862,0,0,0,0,-0.0703381274728828
CVIX.Index,0,-0.103733603438411,0,0.0240368286108853,0,-0.0476971257274064,0,0,0,0,0,0,-0.107658017164619,0.163812717100429,-0.039833347873566,0,0,0,0,0.0921704256122351
DXY.Curncy,0,0,-0.0135623845982733,0,0,-0.00926859368069745,0,0,0,0,0,0,0,0,-0.000777285921121916,0,0.0501342820412373,0,0,-0.0119555441752658
SPX.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44381051384299e-06,0,0,0,0,-0.0446106510055477
VIX.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
