,BTC,ETH,XRP,BCH,LTC,EOS,ADA,XLM,NEO,MIOTA,XMR,DASH,TRX,XEM,ETC,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0.340360425321669,0,-0.000164831250262179,0,0.223375895595212,0,0,0.0438191210024939,0.0506832132056962,0.0159636223851755,0,0,0,0,0,0,0.0569685153665041
ETH,0,0,0,0.53484693481258,0.182741623267833,0,0.177065332191117,0,0,0.0434336820799454,0,0,0,0.0550072734843417,0,0,0,0,0,-0.0512188894846682
XRP,0,0,0,0,0,0.0188570627711743,0,0.0831634582774068,0.118099705044574,0.3132218254058,0,0,0,0.281741543567997,0,0,0,0,0,0
BCH,0.184652920825465,0.430121772265921,0.0966544706213301,0,0,0,-0.168308031030999,0,-2.71050543121376e-20,0,0,0.296591463228152,-0.0131684465023294,0.12097021217374,0,0,0,0,0,0
LTC,0,0.217869610328547,0,0.162210804321239,0,0.0336065593187971,1.38777878078145e-17,0,0.0851999699091057,0,0,3.46944695195361e-18,0,0.410574061663234,0,0,0,0,0,0.100783675593349
EOS,-0.370879791321897,0,0,0,0,0,-0.334043759466294,0,0.0523529957785548,0,0,0,0,0,1.39979206638183,0,0,0,0,-0.115592718220375
ADA,0,0,-6.93889390390723e-18,0,0,0,0,0.300430820112276,0,0.550358582747334,0.17737425024649,0,-0.10445069137712,0,0,0,0,0,0,0.106182805352304
XLM,0.390092800727045,0,0.384020631570548,-8.67361737988404e-19,0,0,0,0,0,0,-3.46944695195361e-18,0,-0.00220468610297123,0.166082594976579,0,0,0,0,0,0
NEO,0,0,0,0,0,0.233421260653453,0.339054284484462,0,0,0.145267446022803,0,0,0,0.188086473841148,0,0,0,0,0,0.0884859714583872
MIOTA,0,0.154408944291492,0,0.0362897369938676,0,0.0641569759476316,0.340558464232568,0,0,0,0,0,0.00731267960947939,0.182093008168999,0,0,0,0,0,0
XMR,0,0,0,0.257039188261776,0,0,0.253830707917314,0.331792495564686,0,0,0,0,0,0,0,0,0,0,0,0.0538424030701532
DASH,0.736158150065237,0,0,0,0,0.0733634191249792,0,-0.00752571279672893,0.00397763091079179,0.183111007304884,-0.110853801802825,0,0.0454971876533232,0.149989306254911,0,0,0.41511256903115,0,0,0.15082204538509
TRX,0,0,0,0,0,8.67361737988404e-19,0,0,0,0.441703379321222,0,0,0,0,0,0,0,0,0,0
XEM,0,0,0.406567348445921,0.0617195299055492,0.317750400850738,-0.117643316975431,0,0.0503947504084646,0,0,0,0,0.0840749125370909,0,0.397618613219042,0,0,0,0,0.0804068945634854
ETC,0,0,0,0,0,0.142121234162955,0.341072611349186,0,0,0,0,0,0.0110546091868702,0.282007897080532,0,0,0,0,0,0
BV010082.Index,0,0,0.0781210674005148,0,0,0.0233714269333029,0,-0.0275499614357428,-0.0314553695521848,0,-0.0776229805223192,0.0706602061901776,-0.0295989120826027,0,0,0,0,0,0,-0.0713967023631003
CVIX.Index,0,0,0,-0.0727700413617471,0,-0.0274912720597968,0,0,0,0,-0.0160882603566667,0.108051791345752,-0.0157265377596443,0,0,0,0,0,0,0
DXY.Curncy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.Index,0,0,0,0,0,0.0289777155611189,0,0,0,-0.0222267928380066,0,0,-0.000763408259210498,0,0,0,0,0,0,-0.130347023993425
VIX.Index,0,0,0,0,0.262847508679957,0.0188557993307949,0,-8.67361737988404e-19,0.169079843670753,-0.359020542090933,0.123054297242572,0.104126089524486,-0.000247486944599632,0,0,0,0,0,-4.40983401112939,0
