,BTC,ETH,BCH,XRP,LTC,DASH,NEO,XEM,XMR,ETC,MIOTA,ADA,ZEC,XLM,EOS,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0,0,0,0,0,0,-0.0244197095289183,-0.182945602012083,0.150003415066423,0,0,0.211598024191023,0,0,0,0,0
ETH,-0.0313692049959785,0,0.051072832167243,0,-0.259713532684298,0,-0.0875873302553452,-0.0312702455721839,-0.0955504003984291,0.188709005996221,0.17290094686208,0.238891141175428,0.157164059283674,0.0456334299721938,0.0681299265871277,0,0,0,0,-0.0786275469883277
BCH,-0.421052846426419,0,0,0.36824021567621,0.460387220093038,-0.754713331478361,0,0,-0.0756195561900406,0.122898229111281,0.209130305046552,-0.282992503294392,0.139025599054327,-0.144769172894278,0.431613404995005,0,0,0,0,-0.428195864681832
XRP,-0.0639842351364583,0,0,0,0.179112376748197,0,0,0.0388933359439799,0,0,0.110432733429985,0.0114717500497719,0,0.0480871010327068,0,0,0,0,0,0.0231839309551611
LTC,0,0,0.0586281625711103,0,0,0,0,0,0,0.0867487561179577,0.0331196411442675,0.160092946658837,0,0,0,0,0,0,0,0
DASH,0,0,-0.0596029619708101,0,0.289142729351919,0,0.121639046260293,0,0.0385084039859595,0.0502126008538053,0.141325839730134,0,0.0999473105008944,0,0.0752197848022024,0,0,0,0,-0.121735216687182
NEO,0,0,0,0,0,0,0,0,0,0,0.486023802412716,0.063134715513129,0.16657424515773,0,0,0,0,0,0,0
XEM,0,0,0,0.705628624596558,0,-0.278417338829482,0.292471689451259,0,-0.0690137283808283,0,0.287636026250884,0.125948103495052,-0.052220901837591,-0.0268470337502645,-0.110641001797688,0,0,0,0,-0.247066181617029
XMR,0,0,0,0,0,0.0586604950274936,0,0,0,0.101101309153085,0.169733959452167,0.188915667710218,0,0,2.16840434497101e-19,0,0,0,0,-0.0709696950464694
ETC,0,0,0.141585443157464,0,0,0,0,0.248099179594042,0.19415549484135,0,0,0.0839195035999923,0,0,0,0,0,0,0,0
MIOTA,-0.226529130159936,0,0.23874049250153,0,0,0.498014681165275,0.294709618579534,0.435717113427541,0.240074990079653,0,0,-0.00526838967965577,0,0.0881523705504788,0,0,0,0,0,0.459471876489234
ADA,0,1.62137449200051,-0.393776732879693,0,0.469969151562159,0,0,0,0.271329014954821,-0.239051100315145,0.0712687003168868,0,0,-0.138848825578328,0.0238473172280132,0,0,0,0,3.46944695195361e-18
ZEC,-0.170844322097151,0,0,0,0.412076577410659,0,0.240751871876679,0,0,0,0,0.0248184586302791,0,0,0,0,0,0,0,0
XLM,0,0,-0.408825225235049,0,0,0,0,0,0,0,0.693778782198392,-0.327881831008401,0.0603635084448831,0,-0.111320411348383,0,0,0,0,0
EOS,1.2982411237094,0,1.51661156895502,0,-0.851176062591893,1.16036556688744,0.124453505458643,-0.0266753404341981,0,-0.133814797466843,0,-0.0189942796208737,-3.02929356191806e-05,0.145907816287677,0,0,0,0,0,0.785469838079769
BV010082.Index,0.149660240218095,0,0.0400318674571335,0,0.0182538583535348,0,0,0,-0.00222877788214123,-0.0324798113714133,0.0440445467664129,-0.0523062259118982,0.0250672219958474,0.0419722188920886,-0.0360857793253952,0,0,0,0,-0.00871461411708082
CVIX.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.Curncy,0,0,0.0258982610219234,0,0,0,0,0.0243498108550144,0,-0.0174492397846274,0,0,0,0.0109135527596185,-0.00976778007449225,0,0,0,0,-0.00470812219834039
SPX.Index,0,0,0,0,0,0,0,0,0,-8.60628118612737e-08,0,0,0,7.47528716169256e-08,-2.80236226688676e-09,0,0,0,0,-0.0373012084162989
VIX.Index,0,0,0,0,0,0,0,0,0,0,0.180238008685954,0.0730884178033024,0,0,0,0,0,0,0,0
