,BTC,ETH,XRP,BCH,LTC,EOS,XLM,ADA,NEO,MIOTA,XMR,DASH,TRX,XEM,BNB,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0.1603055553045,0.068253776016237,0.0406493151203085,0.0649442666883048,0,0,0,0.284825757839004,0.115404432605893,0.0126846634573051,0,0.0652820201607479,0,0,0,0,0
ETH,0,0,0.17624896848628,0,0.326057227216153,0,6.93889390390723e-18,0.00128785595600035,0,0,0.267194407047818,0,0,0.0278744936674468,0.0857442207638448,0,0,0,0,0
XRP,0,0,0,0.092381057534638,0,0.14585008378316,0.142298545051617,0,0.42679247449816,0,0,0,0,0.0213626120824951,0,0,0,0,0,-0.0606181009695217
BCH,0,0,0,0,0.0805101236938784,0,0.0704994586512313,0,0,0.277227222472226,0,0,0.0528373562769653,0.0505083540578436,0.0964533374656844,0,0,0,0,0
LTC,0,0.813012453363998,0,0.184976534616497,0,-0.032512058573653,0,0,0,0,0,0.160563111937724,0,0,-0.0755882823577831,0,0,0,0,0.0653369535611942
EOS,0,0,0.906520216447108,0,0,0,-1.02720173451369,1.16447958201492,0,0,0,0,0.132417282651218,-0.0236600326542892,0,0,0,0,0,-0.202817150544392
XLM,0,0,0,0,0,-0.0273469868203446,0,0.367264637500133,0,0.156264441644134,0.607950563467647,0,0,0.0993664605261565,0,0,0,0,0,0
ADA,-0.450180221626915,0.148974642700705,0,-0.197292126915485,0,0.584514108183572,0.751545345339154,0,0,-0.0483779984373943,0,0,0,0.0619391680205113,0,0,0,0,0,0.0593024108792514
NEO,0,0,0,0,0,0.108916728104317,0.0729349828722625,0.194755606932231,0,0.209177697906174,0.253983354768949,0.13925058185308,0.0494225731738303,0.0156271311432509,0,0,0,0,0,0.00629454632469938
MIOTA,0,0,0,0.0552305530605793,0,-0.0702476644221454,0,-0.0824721037495551,0.850478215625744,0,0,0,0.116274243792968,0,-0.0066323004031099,0,0,0,0,0.00353986711478258
XMR,0.392970296415536,0,0,0,0,-0.021521401894486,0.137761496000159,0,0.452725504022914,0,0,0,0,0,0,0,0,0,0,0
DASH,0,0,0,0,0,0,0.0806317496052394,0.00309916986736143,0.327627740381658,0,0,0,0.0447293449919804,0,0.018146076056575,0,0,0,0,0.206345000433398
TRX,0,0,0,0.641832144203117,-0.398532139456662,0.0105512745565116,0.0881324248258715,0,0,0.223827657660495,0,0.296661224445508,0,0.362114111958076,0,0,0,0,0,0.240933181691924
XEM,-0.832042493151979,0.0935169388224203,-0.436243313419355,0,0,0,0.878962058959783,0,0.520440502675195,0,0,6.93889390390723e-18,0.203846955588337,0,0.121470623090379,0,-1.70472112207891,0,0,-0.00914393286010794
BNB,0.885195529223541,0.392953074413645,0,0,0,0,0,0,-1.17679034195456,0,0,0.673896294664881,0,0.620729986541585,0,0,-0.182585708189037,0,0,-0.0498192876040986
BV010082.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0506495330537178,0,0,0,0,0,0
CVIX.Index,0,0,0,0,0,-0.0372268532533462,0.0655890585470461,0,0,0,0,0.14723016721264,0,-0.0515176797371946,-0.0876303236496895,0,0,0,0,0.017508066438382
DXY.Curncy,0,0,0,-0.0149299940100243,0,0.0123550961878562,-0.0298334410856029,0,0,-5.42101086242752e-20,0,0.0533832311388543,-0.0140084713490768,-0.00708356004980871,0,0,0,0,0,-0.00841939388756241
SPX.Index,0,0,0,0,0,0,0,0,0,0,0,0,-0.00269963541554289,0.0119778662056664,0,0,0,0,0,-0.0874586458398351
VIX.Index,0,-0.135261063600868,-0.507958259401692,0,0,0,0,0.101449017990338,0.188103409441571,0,0,0,0.0113351088926008,0.327974327397665,0,0,0,0,-2.85204366136848,0
